,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.39,0.43,0.9,0.62,0.83,0.63,0.71,0.43,0.81,0.5
firebird.csv,0.57,0.86,1.0,0.78,0.86,0.97,0.82,1.0,0.79,0.83
fmri-dmt.csv,0.46,0.74,1.0,0.63,0.95,0.31,0.36,1.0,0.23,1.0
htmlunit.csv,0.58,0.71,0.4,0.52,0.67,0.57,0.71,0.86,0.6,0.67
monetdb.csv,0.7,0.69,0.9,0.41,0.36,0.37,0.62,0.43,0.72,0.17
ontomorphtab.csv,0.8,0.71,1.0,0.73,0.86,0.86,0.69,0.79,0.89,0.83
smarttag.csv,0.85,0.77,0.1,0.91,0.69,0.68,0.89,0.57,0.57,0.83
taokgame.csv,0.24,0.34,1.0,0.36,0.31,0.09,0.53,0.36,0.34,0.17
webdriver.csv,0.77,0.71,0.7,0.72,0.52,0.46,0.73,0.64,0.6,0.17
xbplayer.csv,0.45,0.74,0.7,0.67,0.69,0.61,0.69,0.64,0.55,0.33
