,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.5,1.0,0.04,0.18,0.81,0.8,0.53,0.14,0.05,0.77,0.5
libtorrent.csv,0.77,0.42,0.06,0.45,0.78,0.99,0.62,0.18,0.22,0.87,0.43
mcmc-jags.csv,0.74,0.28,0.08,1.0,0.83,0.88,0.62,0.26,0.15,0.9,0.48
natpad.csv,0.89,0.38,0.05,0.67,0.76,0.9,0.66,0.28,0.22,0.9,1.0
nebuladevice.csv,0.7,0.46,0.08,0.38,0.83,0.91,0.65,0.45,1.0,0.86,0.44
olap-navigator.csv,1.0,0.46,0.08,0.5,0.83,0.94,0.57,0.17,0.21,0.89,0.58
pidgin.csv,0.81,0.48,0.06,0.27,0.99,0.85,0.6,0.17,0.13,0.88,0.53
salasaga.csv,0.66,0.47,0.04,0.25,0.67,0.81,0.53,1.0,0.17,0.82,0.38
sepgsql.csv,0.41,0.48,0.95,0.14,0.69,0.73,0.37,0.13,0.14,0.66,0.18
xstore.csv,0.71,0.31,0.06,0.71,0.79,0.89,0.98,0.2,0.19,0.87,0.45
xtreemfs.csv,0.91,0.5,0.08,0.64,0.85,0.94,0.67,0.26,0.17,1.0,0.58
