,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.31,1.0,0.07,0.15,0.41,0.42,0.31,0.23,0.05,0.36,0.36
libtorrent.csv,0.76,0.55,0.11,0.54,0.83,0.99,0.73,0.31,0.35,0.91,0.56
mcmc-jags.csv,0.6,0.33,0.13,0.97,0.61,0.61,0.65,0.35,0.22,0.81,0.59
natpad.csv,0.41,0.39,0.1,0.5,0.63,0.63,0.57,0.41,0.31,0.86,1.0
nebuladevice.csv,0.61,0.34,0.12,0.36,0.4,0.57,0.35,0.26,1.0,0.28,0.39
olap-navigator.csv,0.98,0.6,0.14,0.57,0.75,0.8,0.69,0.28,0.34,0.93,0.62
pidgin.csv,0.5,0.55,0.12,0.27,0.99,0.67,0.63,0.28,0.21,0.81,0.61
salasaga.csv,0.72,0.62,0.08,0.39,0.66,0.74,0.61,1.0,0.29,0.79,0.46
sepgsql.csv,0.33,0.51,0.83,0.21,0.46,0.54,0.22,0.19,0.2,0.26,0.2
xstore.csv,0.55,0.33,0.1,0.45,0.71,0.64,0.97,0.29,0.27,0.8,0.56
xtreemfs.csv,0.77,0.5,0.13,0.54,0.69,0.65,0.72,0.32,0.26,0.99,0.62
