,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.26,1.0,0.44,0.16,0.31,0.32,0.26,0.29,0.09,0.27,0.32
libtorrent.csv,0.67,0.52,0.6,0.68,0.69,0.98,0.71,0.6,0.66,0.56,0.58
mcmc-jags.csv,0.52,0.35,0.48,0.94,0.52,0.49,0.65,0.57,0.42,0.69,0.66
natpad.csv,0.3,0.43,0.59,0.45,0.54,0.51,0.53,0.77,0.54,0.74,1.0
nebuladevice.csv,0.53,0.31,0.26,0.37,0.3,0.45,0.28,0.21,1.0,0.2,0.39
olap-navigator.csv,0.98,0.6,0.77,0.69,0.68,0.71,0.6,0.61,0.66,0.74,0.67
pidgin.csv,0.4,0.61,0.69,0.31,0.99,0.54,0.62,0.6,0.44,0.66,0.68
salasaga.csv,0.26,0.57,0.53,0.34,0.42,0.34,0.56,1.0,0.5,0.28,0.52
sepgsql.csv,0.21,0.55,0.78,0.27,0.38,0.32,0.18,0.39,0.41,0.19,0.23
xstore.csv,0.46,0.37,0.58,0.38,0.62,0.52,0.96,0.57,0.49,0.64,0.63
xtreemfs.csv,0.7,0.52,0.48,0.52,0.6,0.53,0.72,0.47,0.51,0.99,0.67
