,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.93,0.0,0.79,0.89,0.75,0.81,0.81,0.94,0.98,0.85,0.74
libtorrent.csv,0.57,0.8,0.75,0.44,0.65,0.06,0.6,0.77,0.68,0.79,0.76
mcmc-jags.csv,0.64,0.97,0.61,0.07,0.57,0.63,0.57,0.54,0.77,0.5,0.59
natpad.csv,0.74,0.77,0.68,0.6,0.64,0.59,0.58,0.42,0.61,0.51,0.0
nebuladevice.csv,0.69,0.76,0.79,0.69,0.75,0.63,0.77,0.82,0.0,0.85,0.72
olap-navigator.csv,0.03,0.75,0.52,0.41,0.48,0.38,0.74,0.66,0.65,0.62,0.46
pidgin.csv,0.67,0.62,0.6,0.78,0.03,0.68,0.6,0.74,0.84,0.61,0.52
salasaga.csv,0.95,0.77,0.78,0.91,0.9,0.94,0.76,0.0,0.83,0.95,0.78
sepgsql.csv,1.14,0.63,0.26,1.07,0.77,1.01,0.9,0.78,0.8,0.95,1.01
xstore.csv,0.69,0.87,0.62,0.67,0.56,0.61,0.05,0.6,0.67,0.62,0.66
xtreemfs.csv,0.36,0.62,0.61,0.54,0.49,0.53,0.49,0.61,0.72,0.02,0.46
