,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.56,0.73,0.15,0.12,0.13,0.62,0.51,0.39,0.32,0.07,0.6,0.13,0.33,0.09,0.99,0.44,0.18,0.68,0.8
co-ode-owl-plugins.csv,0.67,0.8,0.22,0.0,0.17,0.76,0.45,0.5,0.5,1.0,0.31,0.19,0.17,0.19,0.47,0.4,0.0,0.0,1.0
exl.csv,0.51,0.74,0.22,0.16,0.16,0.59,0.47,0.41,0.32,0.21,0.45,0.13,0.27,0.1,0.75,0.38,0.22,0.78,1.0
firebreath.csv,0.47,0.64,0.17,0.23,0.15,0.63,0.51,1.0,0.38,0.09,0.31,0.13,0.31,0.06,0.83,0.35,0.13,0.74,0.62
irplus.csv,0.32,0.79,0.12,0.21,0.16,0.62,0.48,0.46,0.38,0.08,0.48,0.13,0.3,0.08,0.77,1.0,0.27,0.81,0.74
jasperreports.csv,0.0,0.75,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,1.0,0.0
javaprofiler.csv,0.48,0.56,0.16,0.09,0.16,0.49,0.52,0.37,0.33,0.2,0.4,0.11,0.18,0.12,0.76,0.36,0.21,1.0,0.95
konversation.csv,0.67,0.0,0.22,1.0,0.57,0.77,0.67,0.67,0.0,0.0,1.0,0.0,0.0,0.4,1.0,1.0,0.25,0.75,1.0
lazarus-ccr.csv,1.0,0.82,0.0,0.16,0.13,0.57,0.48,0.41,0.32,0.12,0.47,0.12,0.29,0.09,0.72,0.38,0.22,0.68,0.88
linuxsh.csv,0.67,0.8,1.0,0.43,0.41,0.64,0.55,0.57,0.0,0.22,0.58,0.25,0.33,0.1,0.7,0.33,0.0,0.83,0.88
migen.csv,0.42,0.86,0.16,0.28,0.23,0.54,1.0,0.5,0.5,0.07,0.47,0.15,0.25,0.11,0.88,0.38,0.16,0.64,0.96
moviesandbox.csv,0.5,0.89,0.19,0.2,0.23,1.0,0.54,0.47,0.08,0.36,0.68,0.2,0.17,0.15,0.88,0.53,0.11,0.83,0.86
mvnforum.csv,0.14,0.5,0.43,0.0,0.41,0.79,0.5,0.42,0.0,0.0,0.54,0.17,1.0,0.06,0.67,0.6,0.0,0.57,1.0
nebuladevice.csv,0.33,0.5,0.09,0.38,0.2,0.28,0.71,0.3,0.25,0.12,0.19,0.08,0.17,0.18,0.68,0.2,1.0,0.67,1.0
ontomorphtab.csv,0.53,1.0,0.19,0.17,0.2,0.7,0.5,0.45,0.29,0.12,0.54,0.14,0.3,0.1,0.8,0.46,0.15,0.73,0.89
opengs.csv,0.56,0.77,0.14,0.0,0.36,0.74,0.57,0.43,0.0,0.2,1.0,0.12,0.29,0.09,0.88,0.5,0.0,0.86,0.92
scite-ru.csv,0.43,0.62,0.0,0.17,0.13,0.58,0.45,0.39,0.86,0.08,0.44,0.12,0.29,0.04,0.81,0.45,0.19,0.68,0.85
tokratan.csv,0.5,0.0,0.0,0.8,0.33,0.67,0.67,0.56,0.36,0.0,0.43,1.0,0.0,0.0,1.0,0.33,0.5,1.0,0.0
xuggle.csv,0.29,0.55,0.19,0.33,1.0,0.68,0.33,0.46,0.29,0.18,0.45,0.09,0.27,0.03,0.67,0.34,0.33,0.69,0.6
