,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,jasperreports.csv,bwapi.csv,irplus.csv,nebuladevice.csv,javaprofiler.csv,exl.csv
bwapi.csv,0.59,0.63,0.49,0.24,0.59,0.65,0.66,0.21,0.58,0.24,0.44,0.49,0.62,0.81,0.99,0.68,0.05,0.54,0.6
co-ode-owl-plugins.csv,0.1,0.13,0.21,0.0,0.11,0.35,0.18,0.06,0.06,0.95,0.09,0.44,0.07,0.23,0.09,0.1,0.0,0.0,0.12
exl.csv,0.63,0.68,0.69,0.69,0.7,0.59,0.54,0.58,0.57,0.68,0.52,0.64,0.45,0.83,0.46,0.5,0.65,0.72,0.98
firebreath.csv,0.43,0.51,0.21,0.78,0.6,0.59,0.62,0.94,0.67,0.3,0.35,0.58,0.59,0.58,0.24,0.48,0.36,0.68,0.27
irplus.csv,0.28,0.67,0.11,0.72,0.34,0.57,0.61,0.52,0.51,0.13,0.49,0.44,0.54,0.73,0.54,1.0,0.51,0.2,0.37
jasperreports.csv,0.0,0.3,0.0,0.0,0.02,0.02,0.18,0.0,0.0,0.0,0.02,0.0,0.0,0.97,0.01,0.0,0.09,0.04,0.0
javaprofiler.csv,0.55,0.41,0.52,0.36,0.64,0.43,0.5,0.45,0.42,0.59,0.3,0.55,0.31,0.8,0.27,0.55,0.62,1.0,0.56
konversation.csv,0.1,0.0,0.21,0.93,0.11,0.27,0.15,0.04,0.0,0.0,0.05,0.0,0.0,0.27,0.05,0.05,0.09,0.05,0.15
lazarus-ccr.csv,1.0,0.45,0.0,0.71,0.63,0.57,0.47,0.54,0.5,0.25,0.5,0.56,0.53,0.63,0.34,0.4,0.65,0.43,0.81
linuxsh.csv,0.29,0.13,0.93,0.55,0.24,0.24,0.21,0.31,0.0,0.13,0.67,0.45,0.37,0.57,0.24,0.1,0.0,0.16,0.42
migen.csv,0.46,0.39,0.52,0.61,0.58,0.19,1.0,0.34,0.33,0.13,0.3,0.44,0.2,0.57,0.13,0.36,0.36,0.22,0.65
moviesandbox.csv,0.37,0.27,0.55,0.53,0.62,0.96,0.45,0.42,0.06,0.49,0.52,0.45,0.13,0.62,0.2,0.44,0.16,0.37,0.5
mvnforum.csv,0.05,0.13,0.31,0.0,0.18,0.29,0.18,0.1,0.0,0.0,0.53,0.31,0.91,0.39,0.18,0.15,0.0,0.06,0.06
nebuladevice.csv,0.14,0.07,0.11,0.55,0.18,0.13,0.4,0.18,0.17,0.13,0.15,0.16,0.07,0.15,0.23,0.05,1.0,0.04,0.02
ontomorphtab.csv,0.42,0.98,0.48,0.65,0.61,0.64,0.64,0.36,0.22,0.31,0.65,0.64,0.5,0.76,0.36,0.65,0.42,0.36,0.74
opengs.csv,0.25,0.33,0.21,0.0,0.26,0.6,0.53,0.2,0.0,0.2,0.97,0.37,0.42,0.57,0.07,0.36,0.0,0.29,0.31
scite-ru.csv,0.51,0.21,0.0,0.71,0.59,0.55,0.56,0.57,0.91,0.31,0.55,0.36,0.27,0.31,0.42,0.66,0.46,0.24,0.76
tokratan.csv,0.15,0.0,0.0,0.38,0.05,0.06,0.15,0.1,0.23,0.0,0.26,0.83,0.0,0.0,0.02,0.05,0.16,0.05,0.0
xuggle.csv,0.28,0.37,0.31,0.47,0.91,0.34,0.4,0.34,0.49,0.54,0.59,0.4,0.47,0.33,0.1,0.52,0.09,0.58,0.18
