,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.46,0.6,0.71,0.31,0.57,0.44,0.0,0.5,0.33,0.83
flylegacy.csv,0.38,0.7,0.77,0.2,0.63,0.31,0.36,0.31,0.47,0.4
ftm.csv,0.7,1.0,0.88,0.26,0.67,0.58,0.44,0.67,0.63,0.9
jcache.csv,0.43,0.75,0.77,0.14,0.57,0.44,0.41,0.39,0.39,0.82
lphant.csv,0.4,0.81,0.76,0.19,0.68,0.68,0.43,0.7,0.52,0.67
minig.csv,0.37,0.63,0.71,0.14,0.52,0.57,0.34,0.4,0.35,0.83
mob-sen-plat.csv,0.41,0.84,0.74,0.16,0.63,0.37,0.47,0.46,0.49,0.7
raygina.csv,0.62,0.0,0.73,0.17,0.65,0.53,0.5,0.45,0.47,0.87
upp-mirror.csv,0.31,0.88,0.75,0.23,0.75,0.36,0.37,0.39,0.59,0.27
yarp.csv,0.5,1.0,0.76,0.07,0.0,0.29,0.54,0.33,1.0,0.72
