,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,minig.csv,yarp.csv,lphant.csv,ftm.csv,jcache.csv
bloodycore.csv,0.24,0.09,0.35,0.6,0.12,0.17,0.0,0.14,0.05,0.29
flylegacy.csv,0.72,0.7,0.59,0.61,0.58,0.7,0.2,0.5,0.98,0.79
ftm.csv,0.28,0.12,0.35,0.3,0.09,0.15,0.16,0.55,0.69,0.53
jcache.csv,1.0,0.82,0.97,0.46,0.48,0.67,0.44,0.91,0.25,0.91
lphant.csv,0.96,0.52,0.65,0.73,0.73,0.57,0.4,0.73,0.92,0.82
minig.csv,0.6,0.97,0.83,0.79,0.52,0.7,0.52,1.0,0.1,0.44
mob-sen-plat.csv,0.92,0.82,0.9,0.6,0.8,0.85,0.56,0.59,0.8,0.56
raygina.csv,0.72,0.0,0.57,0.51,0.23,0.35,0.36,0.86,0.11,0.38
upp-mirror.csv,0.52,0.45,0.79,0.43,0.7,0.43,0.56,0.41,0.26,0.32
yarp.csv,0.24,0.03,0.44,0.09,0.0,0.37,0.56,0.27,0.02,0.38
