,freelords.csv,columba.csv,ng4j.csv,geogebra.csv,selenium.csv,glas.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
columba.csv,0.6,0.58,0.42,0.41,0.6,0.46,0.48,0.56,0.39
freelords.csv,0.75,0.53,0.47,0.46,0.68,0.58,0.47,0.56,0.45
geogebra.csv,0.27,0.45,0.41,0.52,0.24,0.2,0.35,0.58,0.3
glas.csv,0.71,0.49,0.45,0.4,0.68,0.6,0.55,0.58,0.45
magicwars.csv,0.83,0.45,0.39,0.4,0.58,0.57,0.73,0.51,0.39
ng4j.csv,0.76,0.44,0.65,0.41,0.71,0.52,0.43,0.52,0.46
selenium.csv,0.62,0.55,0.47,0.5,0.68,0.49,0.48,0.54,0.45
turbotrader-bos.csv,0.29,0.32,0.41,0.4,0.58,0.3,0.44,0.63,0.44
xmemcached.csv,0.7,0.46,0.36,0.45,0.5,0.49,0.43,0.49,0.68
