,forester-atv.csv,adonthell.csv,chaperon.csv,yarp0.csv,pokenetonline.csv,gephex.csv,primefaces.csv,rcp-company-uibindings.csv
adonthell.csv,0.48,0.95,0.12,0.43,0.67,0.74,0.34,0.4
chaperon.csv,0.15,0.16,1.0,0.35,0.06,0.23,0.13,0.26
forester-atv.csv,0.98,0.03,0.25,0.0,0.15,0.13,0.05,0.19
gephex.csv,0.31,0.6,0.06,0.37,0.74,0.96,0.31,0.53
pokenetonline.csv,0.58,0.42,0.17,0.45,1.0,0.42,0.44,0.64
primefaces.csv,0.33,0.68,0.11,0.46,0.62,0.76,1.0,0.5
rcp-company-uibindings.csv,0.57,0.66,0.15,0.47,0.78,0.72,0.69,1.0
yarp0.csv,0.45,0.42,0.13,0.97,0.42,0.59,0.53,0.65
