,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,1.0,0.99,0.92,1.0,0.81,0.75,0.92,0.97,1.02,0.77,0.74,0.5,0.99,1.0,0.22,0.94,0.97
chaosrts.csv,0.66,0.83,0.83,0.5,0.68,1.0,0.46,0.77,0.96,0.66,0.69,0.52,0.61,0.27,0.84,0.54,0.58
cortex-vfx.csv,0.56,0.49,0.57,0.51,0.56,0.58,0.5,0.85,0.8,0.76,0.69,0.67,0.52,0.59,0.69,0.44,0.66
fm-classic.csv,0.72,0.76,0.77,0.93,0.68,0.96,0.76,0.09,0.9,0.97,0.97,0.97,0.54,0.89,0.71,0.71,0.95
fritzing.csv,1.02,0.48,0.39,0.49,0.62,0.56,0.26,0.9,0.8,0.42,0.6,0.63,0.69,0.73,0.41,0.48,0.59
jlinalg.csv,0.18,0.75,0.9,0.71,0.88,0.79,0.89,0.54,0.94,0.75,0.77,0.94,1.0,0.55,0.62,0.97,0.76
loki-lib.csv,0.49,0.45,0.6,0.77,0.6,0.42,0.8,0.96,0.57,0.6,0.7,0.43,0.56,0.52,0.81,0.61,0.79
metacosm.csv,0.56,0.54,0.67,0.59,0.63,0.73,0.66,0.68,0.85,0.55,0.76,0.83,0.6,0.73,0.61,0.35,0.48
multitude.csv,0.82,0.6,0.7,0.73,0.66,0.51,0.79,0.38,0.82,0.85,0.4,0.74,0.86,0.67,0.46,0.58,0.68
ng4j.csv,0.51,0.5,0.6,0.38,0.57,0.48,0.33,0.88,0.84,0.44,0.55,0.51,0.75,0.64,0.42,0.72,0.34
phonon-vlc-mplayer.csv,0.6,0.66,0.55,0.42,0.59,0.63,0.27,0.77,0.9,0.39,0.6,0.52,0.53,0.51,0.51,0.62,0.44
playerstage.csv,0.5,0.53,0.49,0.35,0.54,0.54,0.29,0.78,0.9,0.46,0.62,0.52,0.76,0.56,0.48,0.81,0.42
qgis.csv,1.02,0.72,0.69,0.62,0.46,1.0,0.37,0.79,0.82,0.71,0.65,0.61,0.71,0.68,0.4,0.46,0.64
rsyslog.csv,1.0,0.98,0.56,0.87,0.49,0.34,0.53,0.94,0.86,0.69,0.68,0.56,0.74,0.9,0.79,0.68,0.7
rtrt-on-gpu.csv,0.8,0.86,0.8,0.81,0.78,0.71,1.01,0.81,0.41,0.9,0.81,0.8,0.85,0.87,0.85,0.8,0.8
superwaba.csv,0.56,0.39,0.55,0.44,0.52,0.52,0.62,0.96,0.92,0.58,0.59,0.45,0.91,0.61,0.64,0.58,0.59
unflobtactical.csv,0.94,0.96,0.75,0.51,0.56,0.51,0.31,0.98,0.84,0.4,0.59,0.51,0.6,0.65,0.64,0.77,0.69
