,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.74,0.49,0.62,0.83,0.47,0.27,0.77,0.92,0.67,0.35,0.76,0.66
emite.csv,0.82,1.0,0.6,0.56,0.56,0.73,0.83,0.55,0.79,0.53,0.4,0.8
geogebra.csv,0.73,0.73,0.7,0.49,0.67,0.57,0.52,0.68,0.66,0.33,0.94,0.43
hibernate.csv,0.66,0.43,0.97,0.79,0.38,0.71,0.44,0.75,0.54,0.41,0.76,0.53
httpcontentparser.csv,0.73,0.96,0.34,0.49,0.52,1.0,0.67,0.9,0.67,0.44,0.74,0.66
megameknet.csv,0.63,0.51,0.47,0.65,0.63,0.57,0.39,0.62,0.58,0.58,0.81,0.62
myfaces.csv,0.75,0.45,0.48,0.39,0.49,0.5,0.49,0.63,0.55,0.32,0.83,0.47
ns-3.csv,0.54,0.96,0.72,0.55,0.78,0.8,0.46,0.8,0.6,0.92,0.85,0.44
ondex.csv,0.81,0.81,0.62,0.59,0.4,0.58,0.68,0.51,0.67,0.26,0.76,0.62
pixel-commandos.csv,0.85,0.7,0.56,0.89,0.81,0.9,0.88,0.85,0.73,0.07,0.98,0.88
rsyslog.csv,0.74,0.32,0.45,0.81,0.52,0.25,0.57,0.77,0.66,0.29,0.72,0.65
wow-qrsk.csv,0.85,0.92,0.71,0.42,0.29,1.0,0.56,0.81,0.64,0.76,0.61,0.49
