,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,0.23,0.17,0.15,0.77,0.16,0.21,0.63,0.14,0.26,0.24,0.45,0.34
emite.csv,0.11,0.0,0.23,0.26,0.1,0.37,0.05,0.25,0.16,0.18,0.28,0.08
geogebra.csv,0.2,0.71,0.06,0.1,0.44,0.32,0.13,0.41,0.27,0.22,0.02,0.23
hibernate.csv,0.31,0.33,0.96,0.77,0.28,0.68,0.21,0.74,0.27,0.32,0.4,0.3
httpcontentparser.csv,0.24,0.0,0.23,0.46,0.37,0.0,0.48,0.9,0.52,0.36,0.62,0.63
megameknet.csv,0.25,0.21,0.36,0.61,0.54,0.21,0.29,0.45,0.42,0.29,0.32,0.57
myfaces.csv,0.16,0.33,0.38,0.17,0.09,0.45,0.09,0.49,0.31,0.2,0.2,0.19
ns-3.csv,0.41,0.96,0.67,0.23,0.75,0.74,0.23,0.49,0.48,0.89,0.15,0.33
ondex.csv,0.07,0.04,0.59,0.54,0.12,0.18,0.06,0.28,0.25,0.08,0.35,0.14
pixel-commandos.csv,0.08,0.08,0.12,0.26,0.11,0.0,0.1,0.23,0.38,0.07,0.15,0.1
rsyslog.csv,0.45,0.25,0.33,0.59,0.41,0.16,0.23,0.33,0.61,0.29,0.42,0.61
wow-qrsk.csv,0.04,0.0,0.1,0.37,0.25,0.0,0.1,0.81,0.2,0.1,0.18,0.16
