,ns-3.csv,rsyslog.csv,httpcontentparser.csv,myfaces.csv,wow-qrsk.csv,echongl.csv,megameknet.csv,ondex.csv,hibernate.csv,pixel-commandos.csv,emite.csv,geogebra.csv
echongl.csv,2.0,0.0,2.0,37.0,17.0,0.0,5.0,3.0,9.0,3.0,3.0,7.0
emite.csv,1.0,49.0,0.0,5.0,2.0,0.0,7.0,0.0,4.0,6.0,2.0,0.0
geogebra.csv,1.0,0.0,0.0,10.0,72.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0
hibernate.csv,0.0,1.0,22.0,34.0,4.0,0.0,0.0,1.0,9.0,12.0,5.0,3.0
httpcontentparser.csv,0.0,0.0,6.0,20.0,12.0,136.0,4.0,1.0,5.0,18.0,2.0,2.0
megameknet.csv,0.0,0.0,2.0,20.0,6.0,0.0,1.0,4.0,10.0,13.0,1.0,11.0
myfaces.csv,0.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,4.0,4.0,3.0,5.0
ns-3.csv,0.0,4.0,8.0,17.0,17.0,0.0,10.0,18.0,9.0,61.0,3.0,0.0
ondex.csv,0.0,1.0,10.0,18.0,5.0,0.0,6.0,0.0,3.0,4.0,3.0,0.0
pixel-commandos.csv,0.0,2.0,4.0,45.0,4.0,0.0,0.0,0.0,20.0,0.0,4.0,1.0
rsyslog.csv,3.0,0.0,6.0,34.0,29.0,0.0,2.0,13.0,43.0,5.0,2.0,8.0
wow-qrsk.csv,0.0,0.0,7.0,3.0,13.0,136.0,2.0,1.0,1.0,9.0,2.0,0.0
