,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,0.75,0.6,0.52,0.85,0.49,0.55,0.52,0.33,0.49,0.17,0.7,0.64,0.57,0.49,0.44
encog-cs.csv,0.64,0.46,0.45,0.54,0.46,0.56,0.56,0.49,0.65,0.4,0.44,0.44,0.55,0.77,0.3
extprosys.csv,0.72,0.0,0.67,0.44,0.17,0.6,0.42,0.62,0.2,0.26,0.63,0.4,0.27,0.56,0.54
ibatisdb.csv,0.0,0.35,0.36,0.31,0.42,0.5,0.31,0.34,0.47,0.44,0.56,0.12,0.12,0.81,0.46
intact.csv,0.76,0.0,0.51,0.59,0.64,0.66,0.53,0.48,0.72,0.09,0.63,0.42,0.6,0.57,0.24
japano.csv,0.0,0.0,0.58,0.27,0.56,0.43,0.0,0.81,0.17,0.45,0.2,0.37,0.29,0.51,0.57
lockss.csv,0.0,0.39,0.3,0.16,0.17,0.24,0.52,0.44,0.13,0.79,0.6,0.36,0.29,0.55,0.13
ofbiz.csv,0.0,0.63,0.45,0.45,0.35,0.54,0.39,0.41,0.39,0.21,0.45,0.44,0.71,0.37,0.54
officefloor.csv,0.78,0.19,0.13,0.58,0.21,0.44,0.04,0.0,0.6,0.26,0.67,0.06,0.36,0.68,0.34
opennms.csv,0.83,0.0,0.07,0.19,0.69,0.2,0.57,0.17,0.36,0.6,0.33,0.55,0.47,0.26,0.06
rohxel.csv,0.79,0.64,0.53,0.42,0.32,0.5,0.68,0.69,0.34,0.37,0.47,0.52,0.35,0.63,0.13
roolo.csv,0.0,0.56,0.5,0.58,0.5,0.51,0.32,0.43,0.45,0.47,0.37,0.76,0.49,0.58,0.51
sevenupdate.csv,0.0,0.8,0.0,0.0,0.23,0.0,0.0,0.0,0.3,0.45,0.0,0.0,0.34,0.0,0.0
web-cat.csv,0.6,0.7,0.47,0.4,0.42,0.63,0.0,0.33,0.0,0.58,0.3,0.44,0.62,0.54,0.77
