,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.48,0.44,0.65,0.38,0.45,0.4,0.53,0.91,0.39,0.54,0.37,0.46,0.43
avisynth2.csv,0.92,0.83,0.0,0.8,0.75,0.89,0.91,0.0,0.8,0.91,0.5,0.0,0.89
beast-mcmc.csv,0.56,0.42,0.48,0.32,0.93,0.36,0.46,0.41,0.42,0.52,0.63,0.44,0.65
dataobjectsdotnet.csv,0.8,0.45,0.47,0.82,0.91,0.42,0.56,0.65,0.5,0.66,0.44,0.48,0.79
exist.csv,0.39,0.43,0.45,0.29,0.4,0.41,0.35,0.29,0.39,0.41,0.42,0.44,0.36
foursquared.csv,0.95,0.88,0.75,0.88,0.8,0.95,0.83,0.52,0.73,0.96,0.93,0.53,0.8
jaxlib.csv,0.81,0.62,0.56,0.75,0.4,0.97,0.38,0.4,0.92,0.83,0.45,0.5,0.46
jrefactory.csv,0.41,0.51,0.57,0.55,0.36,0.92,0.68,0.34,0.89,0.71,0.55,0.52,0.45
nodal.csv,0.64,0.52,0.73,0.59,0.71,0.58,0.6,0.75,0.56,0.73,0.58,0.0,0.43
opendvr.csv,0.38,0.44,0.84,0.3,0.41,0.43,0.37,0.37,0.39,0.42,0.52,0.69,0.5
pokenetonline.csv,0.35,0.39,0.45,0.3,0.39,0.34,0.39,0.33,0.4,0.42,0.35,0.44,0.41
simplewebservices.csv,0.42,0.54,0.51,0.31,0.43,0.43,0.36,0.41,0.41,0.43,0.44,0.46,0.43
uface.csv,0.4,0.4,0.49,0.29,0.4,0.34,0.35,0.3,0.4,0.4,0.32,0.44,0.37
