,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.67,0.45,0.6,0.0,0.65,0.71,0.5,0.08,1.0,0.41,0.65,0.95,0.65
avisynth2.csv,0.06,0.02,0.0,0.5,0.09,0.05,0.13,0.0,1.0,0.04,0.0,0.0,0.06
beast-mcmc.csv,0.7,0.53,0.55,0.5,0.35,0.87,0.52,0.75,1.0,0.42,0.4,0.5,0.31
dataobjectsdotnet.csv,0.47,0.78,0.8,0.0,0.26,0.8,0.47,0.5,1.0,0.54,0.69,0.64,0.31
exist.csv,0.82,0.49,0.58,1.0,0.57,0.79,0.95,0.96,1.0,0.65,0.65,1.0,0.75
foursquared.csv,0.17,0.08,0.2,0.0,0.13,0.25,0.28,0.83,0.67,0.09,0.08,0.23,0.04
jaxlib.csv,0.33,0.25,0.43,1.0,0.61,0.15,0.72,0.79,0.33,0.27,0.67,0.36,0.89
jrefactory.csv,0.67,0.73,0.25,0.5,0.96,0.16,0.32,0.75,0.0,0.46,0.47,0.5,0.92
nodal.csv,0.26,0.41,0.17,0.0,0.65,0.35,0.33,0.08,0.33,0.22,0.36,0.0,0.63
opendvr.csv,0.8,0.43,0.43,1.0,0.65,0.74,0.92,0.71,1.0,0.51,0.47,0.73,0.47
pokenetonline.csv,0.95,0.92,0.98,1.0,0.78,1.0,0.73,1.0,1.0,0.82,0.98,0.91,0.94
simplewebservices.csv,0.76,0.35,0.85,1.0,0.91,0.77,0.95,0.58,0.67,0.57,0.68,0.95,0.92
uface.csv,0.79,0.57,0.9,1.0,0.61,0.98,0.78,0.96,1.0,0.58,0.88,0.95,0.93
