,springside.csv,gpsmid.csv,psycle.csv,botsnscouts.csv,lphant.csv,oscarmcmaster.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.07,0.11,0.17,0.22,0.48,0.71,0.33,0.66,0.58
gpsmid.csv,0.23,0.21,0.9,0.37,1.0,0.68,0.46,0.66,0.95
lphant.csv,0.49,0.37,0.28,0.33,0.21,0.53,0.11,0.54,0.72
magicwars.csv,0.53,0.61,1.0,0.89,1.0,0.96,0.1,0.69,0.81
oscarmcmaster.csv,0.31,0.16,0.46,0.85,0.85,0.37,0.51,0.39,0.36
psycle.csv,0.62,0.66,0.3,0.67,0.82,0.65,0.59,0.56,0.67
springside.csv,0.22,0.55,0.5,0.15,0.73,0.53,0.04,0.47,0.31
turbotrader-bos.csv,0.19,0.16,0.18,0.04,0.18,0.49,0.12,0.21,0.52
xmemcached.csv,0.14,0.26,0.57,0.63,0.97,0.75,0.53,0.93,0.17
