,springside.csv,gpsmid.csv,psycle.csv,botsnscouts.csv,lphant.csv,oscarmcmaster.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.29,0.43,0.5,0.7,0.68,0.81,0.54,0.87,0.83
gpsmid.csv,0.37,0.69,0.65,0.63,1.0,0.83,0.66,0.92,0.87
lphant.csv,0.45,0.86,0.57,0.41,0.64,0.66,0.38,0.82,0.91
magicwars.csv,0.86,0.86,1.0,0.85,1.0,0.96,0.64,0.84,0.78
oscarmcmaster.csv,0.59,0.63,0.7,0.85,0.91,0.55,0.67,0.85,0.74
psycle.csv,0.88,0.9,0.66,0.93,0.95,0.72,0.72,0.87,0.78
springside.csv,0.78,0.9,0.63,0.22,0.68,0.68,0.43,0.73,0.43
turbotrader-bos.csv,0.43,0.67,0.47,0.22,0.59,0.64,0.36,0.68,0.7
xmemcached.csv,0.24,0.57,0.47,0.78,1.0,0.68,0.62,0.95,0.74
