,springside.csv,gpsmid.csv,psycle.csv,botsnscouts.csv,lphant.csv,oscarmcmaster.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
botsnscouts.csv,0.4,0.57,0.63,0.73,0.57,0.36,0.48,0.55,0.48
gpsmid.csv,0.4,0.75,0.61,0.63,0.57,0.38,0.5,0.57,0.38
lphant.csv,0.37,0.8,0.66,0.47,0.65,0.36,0.48,0.56,0.47
magicwars.csv,0.59,0.74,0.79,0.62,0.57,0.34,0.69,0.52,0.39
oscarmcmaster.csv,0.54,0.72,0.72,0.63,0.57,0.38,0.49,0.65,0.54
psycle.csv,0.57,0.75,0.72,0.71,0.6,0.35,0.48,0.58,0.43
springside.csv,0.7,0.77,0.67,0.32,0.49,0.37,0.56,0.55,0.38
turbotrader-bos.csv,0.48,0.75,0.6,0.35,0.63,0.37,0.45,0.65,0.44
xmemcached.csv,0.32,0.64,0.53,0.65,0.58,0.3,0.45,0.5,0.67
