,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.0,0.0,4.0,7.0,0.0,9.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,1.0
carabiner.csv,5.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0
elvishrayrenderer.csv,50.0,1.0,0.0,0.0,1.0,14.0,3.0,8.0,6.0,0.0,7.0,3.0,0.0,13.0
fleet-simulator.csv,13.0,73.0,1.0,0.0,1.0,4.0,3.0,97.0,0.0,0.0,0.0,1.0,0.0,50.0
gmerlin.csv,17.0,4.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
gnome-jabber.csv,12.0,4.0,3.0,4.0,0.0,3.0,2.0,5.0,0.0,1.0,0.0,2.0,4.0,13.0
ipfilter.csv,1.0,1.0,0.0,0.0,1.0,7.0,3.0,8.0,1.0,0.0,0.0,3.0,0.0,13.0
irplus.csv,8.0,3.0,0.0,0.0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0
mevenide.csv,11.0,0.0,0.0,0.0,0.0,19.0,3.0,11.0,2.0,0.0,0.0,1.0,0.0,9.0
moving-pictures.csv,8.0,1.0,0.0,0.0,0.0,8.0,3.0,1.0,6.0,0.0,0.0,3.0,0.0,16.0
opensim4opencog.csv,0.0,73.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,4.0,1.0
rockbox.csv,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0
ta3d.csv,38.0,1.0,0.0,2.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0
xcmetadataservicestoolkit.csv,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,5.0,1.0,2.0,4.0
