,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.57,0.65,0.62,0.63,0.65,0.64,0.42,0.42,0.63,0.57,0.61,0.69,0.09,0.57,0.77
firebird.csv,0.46,0.66,0.54,0.56,0.65,0.58,0.54,0.39,0.7,0.65,0.63,0.36,0.51,0.54,0.68
flylegacy.csv,0.6,0.67,0.63,0.61,0.6,0.42,0.36,0.24,0.65,0.72,0.56,0.54,0.7,0.6,0.79
gzigzag.csv,0.29,0.75,0.42,0.42,0.48,0.38,0.55,0.61,0.6,0.29,0.25,0.23,0.37,0.76,0.63
hydrogen.csv,0.76,0.0,0.0,0.0,0.0,0.0,0.51,0.46,0.76,0.0,0.0,0.0,0.0,0.24,0.0
mcore3d.csv,0.51,0.71,0.66,0.62,0.68,0.6,0.48,0.49,0.36,0.51,0.51,0.55,0.09,0.62,0.87
nabu-library.csv,0.0,0.0,0.31,0.61,0.58,0.46,0.17,0.24,0.67,0.36,0.45,0.35,0.84,0.0,0.51
ogrehg.csv,0.38,0.6,0.48,0.46,0.63,0.68,0.65,0.54,0.64,0.61,0.66,0.35,0.34,0.64,0.74
qgo.csv,0.52,0.87,0.21,0.56,0.64,0.63,0.61,0.63,0.73,0.17,0.63,0.37,0.68,0.58,0.67
qtractor.csv,0.38,0.2,0.47,0.52,0.66,0.73,0.64,0.61,0.72,0.77,0.67,0.56,0.48,0.7,0.72
rhex.csv,0.87,0.61,0.53,0.36,0.14,0.22,0.43,0.36,0.55,0.41,0.37,0.04,0.68,0.24,0.31
rocrail.csv,0.53,0.65,0.57,0.47,0.49,0.6,0.59,0.57,0.71,0.57,0.49,0.1,0.87,0.53,0.83
webdriver.csv,0.53,0.68,0.6,0.62,0.63,0.72,0.57,0.74,0.79,0.64,0.6,0.58,0.37,0.68,0.79
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.0
yield.csv,0.54,0.7,0.43,0.68,0.64,0.73,0.17,0.33,0.75,0.67,0.73,0.46,0.24,0.54,0.77
