,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.72,0.61,0.96,0.45,0.63,0.61,0.5,0.62,0.83,0.37,0.42,0.93,0.77
avifile.csv,0.86,0.2,0.96,1.09,0.92,0.61,0.97,0.68,0.7,0.58,0.82,0.85,0.85
baadengine.csv,0.33,0.93,0.95,0.76,0.56,0.78,1.0,0.82,0.97,0.53,0.98,0.95,1.0
gdis.csv,0.65,0.91,0.78,1.17,0.68,0.62,0.76,0.84,0.76,1.0,0.56,0.78,0.26
gogoego.csv,0.63,1.14,1.1,0.38,0.67,0.91,0.55,0.62,0.66,0.72,0.9,0.87,0.45
impala.csv,0.89,0.72,0.71,0.33,0.86,0.82,0.78,0.78,0.78,0.93,0.86,0.55,0.81
jgameai.csv,0.97,0.37,1.21,1.02,0.85,0.57,1.0,0.82,0.93,0.68,0.75,0.66,0.98
jhotdraw.csv,0.9,0.65,0.77,0.52,0.97,0.73,1.0,0.85,0.44,0.87,0.52,0.87,0.86
patterntesting.csv,1.0,0.97,1.01,0.97,0.86,0.97,1.0,0.97,0.81,0.42,0.96,0.89,0.93
pokeglobal.csv,0.65,0.81,1.02,0.24,0.38,0.83,1.0,0.55,0.85,0.83,0.73,0.75,0.77
werx.csv,0.99,0.85,0.03,1.0,0.97,1.0,1.0,0.95,1.0,1.0,0.97,0.97,1.0
zealos.csv,0.78,0.62,0.69,1.03,0.9,0.79,0.44,0.68,0.76,0.7,0.6,0.89,0.62
