,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.37,0.35,0.0,0.27,0.13,0.5,0.22,0.07,0.33,0.52,0.97,0.4,0.25,0.4,0.34,0.42,0.56,0.6,0.49
auber.csv,0.67,0.54,0.0,0.67,0.6,0.33,0.36,0.07,0.44,0.8,0.26,0.69,0.99,0.45,0.59,0.88,0.64,0.45,0.47
cortex-vfx.csv,0.31,0.35,0.0,0.0,0.2,0.33,0.53,0.21,0.23,0.4,0.52,0.2,0.39,0.86,0.34,0.42,0.44,0.26,0.47
empserver.csv,0.42,0.62,0.0,0.67,0.53,0.17,0.92,0.64,0.62,0.52,0.34,0.51,0.43,0.74,0.47,0.5,0.31,0.62,0.43
flylegacy.csv,0.69,0.98,0.0,0.93,0.63,1.0,0.06,0.86,0.62,0.6,0.58,0.6,0.55,0.78,0.6,0.31,0.25,0.81,0.02
galaxium.csv,0.22,0.08,1.0,0.07,0.13,0.0,0.06,0.07,0.26,0.12,0.28,1.0,0.04,0.03,0.17,0.08,0.14,0.1,0.18
growl-for-windows.csv,0.68,0.63,1.0,0.47,0.7,1.0,0.72,0.79,0.67,0.68,0.76,0.8,0.27,0.64,0.79,0.38,1.0,0.31,0.67
k3d.csv,0.37,0.35,0.0,0.13,1.0,0.33,1.0,0.29,0.23,0.08,0.18,0.23,0.04,0.08,0.17,0.15,0.03,0.12,1.0
libarchive.csv,0.77,0.78,1.0,0.6,0.57,1.0,0.33,0.36,0.64,0.64,0.72,0.63,0.4,0.58,0.45,0.58,0.31,0.21,0.94
linux-ntfs.csv,0.67,0.68,1.0,0.6,0.2,1.0,0.39,0.29,0.15,0.52,0.77,0.31,0.42,0.49,0.34,1.0,0.39,0.33,0.37
m-a-d-n-e-s-s.csv,0.49,0.63,0.0,0.27,0.37,1.0,0.08,0.14,0.33,0.96,0.9,0.26,0.57,0.7,0.53,0.92,0.64,0.62,0.31
novembre.csv,0.16,0.17,0.0,0.87,0.1,0.33,0.0,0.07,0.18,0.2,0.1,0.09,0.19,0.29,0.16,0.0,0.17,0.05,0.0
qtwin.csv,0.0,0.02,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-filteredstatistics.csv,0.72,0.51,1.0,0.87,0.43,1.0,0.53,0.79,1.0,0.52,0.63,0.83,0.46,0.79,0.5,0.54,0.86,0.43,0.63
tweetsharp.csv,0.75,0.41,1.0,0.67,0.53,0.33,0.69,0.93,0.69,0.68,0.75,0.77,0.9,0.62,0.64,0.65,0.53,0.98,0.86
unladen-swallow.csv,0.63,0.62,0.0,0.33,0.43,0.0,0.5,0.21,0.46,0.6,0.47,0.37,0.22,0.03,0.71,0.31,0.83,0.14,0.53
wishmaster.csv,0.24,0.52,0.0,0.2,0.07,0.0,0.25,0.86,0.08,0.2,0.65,0.63,0.09,0.09,0.66,0.15,0.83,0.21,0.41
