,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.68,0.52,0.71,0.85,0.61,0.41,0.0,0.65,0.23,0.31,0.63
linux-ntfs.csv,0.42,0.49,0.41,0.18,0.46,0.56,0.54,0.31,0.65,0.53,0.75
olap-navigator.csv,0.84,0.64,0.78,0.85,0.71,0.62,0.91,0.72,0.29,0.4,0.41
phonon-vlc-mplayer.csv,0.33,0.58,0.79,0.78,0.8,0.74,0.83,0.4,0.32,0.4,0.55
qgis.csv,0.09,0.66,0.79,0.0,0.11,0.52,0.74,0.43,0.43,0.65,0.5
qse.csv,0.41,0.42,0.61,0.06,0.81,0.58,0.83,0.59,0.2,0.46,0.0
rebecca-aiml.csv,0.3,0.41,0.38,0.34,0.66,0.34,0.91,0.0,0.85,0.51,0.45
roller.csv,0.71,0.58,0.44,0.0,0.74,0.74,0.77,0.05,0.13,0.5,0.13
xapian.csv,0.71,0.61,0.78,0.67,0.78,0.59,0.51,0.09,0.0,0.68,0.63
zoolib.csv,0.69,0.56,0.7,0.0,0.2,0.73,0.0,0.7,0.25,0.27,0.57
