,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.67,0.76,0.39,0.17,0.36,0.06,0.38,0.68,0.25,0.35,0.52
linux-ntfs.csv,0.63,0.59,0.66,0.13,0.4,0.63,0.81,0.53,0.14,0.75,0.34
olap-navigator.csv,0.04,0.6,0.15,0.13,0.19,0.2,0.34,0.55,0.8,0.11,0.86
phonon-vlc-mplayer.csv,0.04,0.26,0.18,0.41,0.49,0.59,0.5,0.08,0.89,0.09,0.72
qgis.csv,0.04,0.25,0.43,0.0,0.0,0.8,0.64,0.28,0.58,0.35,0.72
qse.csv,0.04,0.11,0.19,0.0,0.17,0.39,0.5,0.38,0.35,0.2,0.0
rebecca-aiml.csv,0.15,0.11,0.14,0.36,0.21,0.9,0.32,0.08,0.13,0.15,0.38
roller.csv,0.33,0.69,0.86,1.0,0.62,0.2,0.6,0.99,0.97,0.48,0.97
xapian.csv,0.59,0.74,0.44,0.52,0.53,0.76,0.83,0.98,1.0,0.18,0.66
zoolib.csv,0.0,0.23,0.11,0.01,0.0,0.35,0.32,0.22,0.32,0.07,0.69
