,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.93,0.73,0.74,0.85,0.6,0.36,0.0,0.87,0.2,0.27,0.69
linux-ntfs.csv,0.43,0.51,0.43,0.15,0.43,0.64,1.0,0.29,0.61,0.73,0.77
olap-navigator.csv,0.82,0.76,0.77,0.85,0.69,0.59,1.0,0.84,0.33,0.35,0.81
phonon-vlc-mplayer.csv,0.28,0.55,0.78,0.85,0.94,0.93,1.0,0.35,0.59,0.35,0.73
qgis.csv,0.07,0.64,0.88,0.0,0.09,0.85,1.0,0.39,0.43,0.65,0.62
qse.csv,0.36,0.37,0.58,0.05,0.8,0.57,1.0,0.58,0.17,0.42,0.0
rebecca-aiml.csv,0.26,0.36,0.33,0.3,0.63,0.83,1.0,0.0,0.85,0.46,0.42
roller.csv,0.72,0.75,0.96,1.0,0.97,0.73,1.0,1.0,0.96,0.5,0.96
xapian.csv,0.87,0.93,0.87,0.75,0.94,0.93,1.0,1.0,1.0,0.65,0.81
zoolib.csv,0.64,0.52,0.67,0.0,0.17,0.75,0.0,0.68,0.22,0.23,0.73
