,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.02,0.51,0.74,0.75,0.63,0.65,0.61,0.64,0.61,0.74,0.66,0.69
codesmith.csv,0.7,0.68,0.86,0.59,0.75,0.74,0.84,0.75,0.66,0.68,0.84,0.05
icescrum.csv,0.49,0.72,0.76,0.65,0.58,0.74,0.6,0.57,0.59,0.84,0.05,0.89
ingex.csv,0.76,0.86,0.93,0.69,0.43,0.84,0.65,0.14,0.7,0.75,0.74,0.63
jrefactory.csv,0.76,0.64,0.03,0.79,0.73,0.75,0.69,0.87,0.88,0.96,0.65,0.78
jsecurity.csv,0.69,0.75,0.65,0.05,0.66,0.76,0.75,0.78,0.64,0.81,0.73,0.74
libopenmetaverse.csv,0.94,0.85,0.9,0.98,0.97,0.04,0.97,0.88,0.88,0.97,0.94,0.68
lite.csv,0.88,0.66,0.67,0.85,0.84,0.58,0.7,0.92,0.13,0.87,0.57,0.84
mobicents.csv,0.54,0.64,0.66,0.69,0.67,0.69,0.02,0.55,0.92,0.76,0.49,0.65
opendvr.csv,0.95,0.94,0.9,0.93,0.95,1.0,0.87,0.99,0.9,0.02,0.85,0.98
openefm.csv,0.71,0.03,0.83,0.84,0.62,0.84,0.66,0.44,0.86,0.7,0.35,0.73
sidekar.csv,0.55,0.75,0.84,0.5,0.0,0.7,0.6,0.64,0.6,0.73,0.47,0.76
