,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,ingex.csv,lite.csv,opendvr.csv,icescrum.csv,codesmith.csv
beast-mcmc.csv,0.98,0.58,0.33,0.26,0.38,0.69,0.45,0.69,0.67,0.32,0.37,0.31
codesmith.csv,0.8,0.52,0.82,0.72,0.84,0.61,0.79,0.9,0.8,0.68,0.63,0.95
icescrum.csv,0.53,0.3,0.29,0.36,0.44,0.36,0.44,0.62,0.53,0.18,0.95,0.11
ingex.csv,0.33,0.15,0.22,0.36,0.66,0.22,0.47,0.86,0.4,0.32,0.26,0.38
jrefactory.csv,0.41,0.45,0.98,0.51,0.42,0.78,0.4,0.14,0.27,0.05,0.58,0.73
jsecurity.csv,0.41,0.64,0.45,0.95,0.38,0.33,0.39,0.41,0.4,0.27,0.37,0.64
libopenmetaverse.csv,0.86,0.85,0.92,1.0,0.95,0.97,0.94,0.93,0.93,0.91,0.95,0.91
lite.csv,0.12,0.36,0.39,0.15,0.16,0.58,0.32,0.1,0.87,0.14,0.79,0.17
mobicents.csv,0.58,0.39,0.57,0.36,0.44,0.42,0.98,0.52,0.13,0.27,0.58,0.36
opendvr.csv,0.82,0.73,0.92,0.85,0.89,0.97,0.89,0.59,0.8,1.0,0.95,0.88
openefm.csv,0.36,1.0,0.41,0.64,0.45,0.17,0.48,0.72,0.93,0.36,0.68,0.3
sidekar.csv,0.65,0.36,0.51,0.74,1.0,0.47,0.69,0.55,0.87,0.5,0.84,0.25
