,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.71,0.14,0.5,0.35,0.23,0.75,1.0,0.24,0.07,0.43,0.5
gamestone.csv,0.83,1.0,0.58,0.3,0.12,0.75,0.5,0.2,0.0,0.35,0.33
gbif-providertoolkit.csv,0.8,0.0,0.91,1.0,1.0,0.86,0.0,0.2,0.07,0.78,0.75
heekscad.csv,1.0,0.22,0.59,0.36,0.21,0.8,0.43,0.21,0.06,0.4,0.65
igarden.csv,0.81,0.14,0.56,0.94,0.05,0.71,0.28,0.4,0.04,0.43,0.38
levent.csv,0.68,0.0,0.85,0.38,0.32,1.0,0.4,0.25,0.08,0.52,0.6
lportal.csv,0.49,0.12,0.48,0.18,0.09,0.56,0.3,0.08,0.99,0.34,0.26
natpad.csv,0.72,0.06,0.55,0.42,0.24,0.78,0.38,0.22,0.07,0.38,1.0
openmsx.csv,0.62,0.11,0.44,0.39,0.19,0.68,0.29,0.18,0.04,1.0,0.3
owlapi.csv,1.0,0.0,1.0,0.0,0.25,1.0,0.57,1.0,0.14,0.4,0.58
xcsoar.csv,0.83,0.15,1.0,0.4,0.3,0.78,0.38,0.29,0.09,0.46,0.58
