,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.74,0.38,0.7,0.58,0.93,0.37,0.97,0.92,0.74,0.58,0.58
gamestone.csv,0.06,1.0,0.25,0.1,0.14,0.06,0.24,0.12,0.01,0.11,0.07
gbif-providertoolkit.csv,0.05,0.0,0.18,0.03,0.86,0.12,0.0,0.4,0.4,0.11,0.14
heekscad.csv,0.99,0.75,0.79,0.77,0.57,0.08,0.34,0.56,0.66,0.55,0.26
igarden.csv,0.38,0.25,0.18,0.94,0.07,0.35,0.24,0.16,0.18,0.45,0.3
levent.csv,0.22,0.0,0.3,0.1,0.57,1.0,0.66,0.52,0.31,0.2,0.65
lportal.csv,0.29,0.62,0.46,0.23,0.21,0.39,0.55,0.24,0.89,0.49,0.33
natpad.csv,0.68,0.25,0.64,0.42,0.79,0.51,0.5,0.56,0.74,0.58,0.93
openmsx.csv,0.64,0.62,0.59,0.68,0.79,0.98,0.58,0.96,0.91,0.89,0.44
owlapi.csv,0.06,0.0,0.07,0.0,0.07,0.06,0.21,0.96,0.24,0.03,0.51
xcsoar.csv,0.58,0.38,0.93,0.39,0.64,0.29,0.47,0.6,0.63,0.4,0.7
