,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.49,0.67,0.42,0.43,0.43,0.54,0.65,0.52,0.46,0.53,0.42
gamestone.csv,0.83,0.88,0.75,0.9,0.76,0.75,0.83,0.93,1.0,0.95,0.89
gbif-providertoolkit.csv,0.8,0.89,0.91,0.0,0.92,0.86,0.0,0.78,0.75,0.89,0.88
heekscad.csv,0.43,0.41,0.35,0.31,0.42,0.8,0.6,0.45,0.47,0.4,0.94
igarden.csv,0.64,0.86,0.94,0.68,0.8,0.88,0.81,0.9,1.0,0.6,0.76
levent.csv,0.96,0.0,0.85,0.88,0.48,0.51,0.44,0.45,0.83,0.92,0.38
lportal.csv,0.89,0.6,0.69,0.7,0.78,0.79,0.55,0.76,0.99,0.61,0.85
natpad.csv,0.44,0.7,0.55,0.61,0.44,0.62,0.66,0.66,0.53,0.49,0.55
openmsx.csv,0.57,0.52,0.53,0.54,0.48,0.46,0.55,0.54,0.42,0.71,0.69
owlapi.csv,0.8,0.0,0.75,0.0,0.75,0.67,0.93,0.92,1.0,0.8,0.39
xcsoar.csv,0.44,0.7,0.48,0.53,0.43,0.5,0.53,0.47,0.54,0.45,0.35
