,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.55,0.71,0.63,0.62,0.65,0.68,0.03,0.56,0.51,0.68,0.57
gamestone.csv,0.94,0.0,0.76,0.91,0.89,0.94,0.77,0.88,1.0,0.9,0.93
gbif-providertoolkit.csv,0.95,1.01,0.82,0.97,0.14,0.88,1.0,0.67,0.64,0.89,0.86
heekscad.csv,0.01,0.47,0.49,0.64,0.62,0.92,0.7,0.59,0.56,0.73,0.75
igarden.csv,0.64,0.78,0.83,0.07,0.97,0.72,0.82,0.84,0.84,0.69,0.77
levent.csv,0.8,1.0,0.7,0.91,0.5,0.0,0.61,0.57,0.71,0.81,0.46
lportal.csv,0.87,0.8,0.67,0.9,0.9,0.89,0.81,0.93,0.11,0.82,0.91
natpad.csv,0.54,0.96,0.55,0.63,0.55,0.58,0.65,0.59,0.5,0.78,0.07
openmsx.csv,0.73,0.84,0.72,0.56,0.73,1.0,0.83,0.86,0.9,0.11,0.9
owlapi.csv,0.94,1.0,0.93,1.0,0.93,0.94,0.79,0.04,0.76,0.97,0.55
xcsoar.csv,0.46,0.71,0.07,0.66,0.48,0.74,0.66,0.49,0.47,0.68,0.46
