,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.31,0.22,0.04,0.72,0.26,0.51,1.0,1.0,0.29,0.68,0.0,0.17,0.88
bdbbasic.csv,0.37,0.13,0.03,0.62,0.29,0.43,0.5,1.0,0.62,0.71,0.78,0.4,0.88
echongl.csv,0.38,0.18,0.04,0.6,0.26,0.38,0.52,1.0,0.42,0.93,0.33,0.3,0.8
etherboot.csv,0.5,0.58,0.0,0.75,0.38,0.78,0.0,0.76,0.58,0.0,0.33,0.2,0.62
freebios.csv,0.21,0.16,0.03,0.54,0.26,0.29,0.76,0.58,0.24,0.87,0.33,0.17,0.67
gebr.csv,0.32,0.14,0.03,0.53,0.29,0.32,0.49,0.92,0.27,0.71,0.33,0.19,0.78
gnukeda.csv,0.33,0.21,0.03,0.77,0.27,0.51,0.4,0.87,0.38,0.52,0.35,0.17,0.77
google-gears.csv,0.44,0.16,0.05,0.77,0.29,0.32,0.43,0.8,0.31,0.73,0.28,0.25,0.86
jnode.csv,0.43,0.17,0.14,0.52,0.0,0.0,0.75,0.63,0.43,0.69,0.0,0.33,0.74
openmeetings.csv,0.6,0.45,0.08,0.8,0.33,0.5,1.0,1.0,0.46,0.68,0.42,0.14,0.81
pgui.csv,0.25,0.16,0.0,0.74,0.25,0.31,0.36,0.8,0.33,0.39,0.48,0.18,0.85
tradelink.csv,0.25,0.13,0.05,0.67,0.2,0.31,0.53,0.78,0.43,0.84,0.28,0.29,0.78
wxcrp.csv,0.49,0.11,0.04,0.48,0.27,0.33,0.42,0.86,0.33,0.82,0.29,0.29,0.76
