,f1,g,recall,precision,pf,wins
aufs.csv,0.28,0.4,0.36,0.31,0.16,4
bdbbasic.csv,0.36,0.39,0.45,0.5,0.34,7
echongl.csv,0.44,0.54,0.54,0.38,0.38,11
etherboot.csv,0.3,0.1,0.19,0.5,0.07,1
freebios.csv,0.33,0.46,0.47,0.29,0.48,3
gebr.csv,0.49,0.24,0.95,0.32,0.94,2
gnukeda.csv,0.38,0.47,0.42,0.38,0.34,6
google-gears.csv,0.48,0.57,0.82,0.32,0.74,9
jnode.csv,0.16,0.12,0.1,0.43,0.1,0
openmeetings.csv,0.44,0.48,0.48,0.5,0.16,12
pgui.csv,0.34,0.51,0.58,0.33,0.53,5
tradelink.csv,0.41,0.55,0.68,0.31,0.5,10
wxcrp.csv,0.47,0.56,0.7,0.33,0.66,8
