,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.45,0.4,0.45,0.38,0.44,0.61,0.02,0.05,0.13,0.47,0.0,0.06,0.43
bdbbasic.csv,0.63,0.36,0.39,0.49,0.47,0.74,0.02,0.06,0.71,0.2,0.18,0.37,0.54
echongl.csv,0.54,0.27,0.35,0.54,0.54,0.6,0.26,0.36,0.73,0.83,0.56,0.56,0.5
etherboot.csv,0.04,0.68,0.0,0.1,0.57,0.23,0.0,0.62,0.62,0.0,0.65,0.0,0.05
freebios.csv,0.42,0.17,0.28,0.52,0.46,0.22,0.79,0.36,0.46,0.51,0.5,0.49,0.41
gebr.csv,0.38,0.0,0.45,0.24,0.53,0.17,0.0,0.7,0.0,0.0,0.6,0.2,0.47
gnukeda.csv,0.58,0.57,0.34,0.7,0.57,0.66,0.32,0.47,0.19,0.29,0.32,0.3,0.47
google-gears.csv,0.73,0.57,0.61,0.49,0.57,0.33,0.23,0.67,0.45,0.21,0.09,0.65,0.67
jnode.csv,0.12,0.36,0.81,0.39,0.0,0.0,0.07,0.41,0.19,0.11,0.0,0.06,0.18
openmeetings.csv,0.53,0.92,0.63,0.12,0.62,0.55,0.02,0.41,0.37,0.48,0.66,0.13,0.25
pgui.csv,0.43,0.53,0.0,0.48,0.51,0.55,0.1,0.67,0.65,0.15,0.67,0.51,0.6
tradelink.csv,0.12,0.47,0.59,0.54,0.38,0.55,0.58,0.64,0.67,0.69,0.54,0.59,0.25
wxcrp.csv,0.61,0.42,0.3,0.45,0.3,0.58,0.44,0.59,0.66,0.77,0.33,0.72,0.56
