,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.39,0.21,0.48,0.16,0.41,0.26,0.0,0.0,0.1,0.61,0.0,0.06,0.16
bdbbasic.csv,0.45,0.34,0.54,0.34,0.39,0.52,0.02,0.0,0.16,0.95,0.02,0.12,0.22
echongl.csv,0.35,0.17,0.9,0.44,0.74,0.48,0.2,0.0,0.43,0.16,0.46,0.3,0.38
etherboot.csv,0.01,0.07,0.0,0.03,0.33,0.02,0.0,0.55,0.16,0.0,0.68,1.0,0.08
freebios.csv,0.73,0.12,0.36,0.59,0.48,0.21,0.24,0.71,0.59,0.18,0.36,0.7,0.76
gebr.csv,0.89,1.0,0.79,0.94,0.8,0.96,1.0,0.16,1.0,1.0,0.76,0.95,0.84
gnukeda.csv,0.77,0.34,0.48,0.25,0.66,0.29,0.41,0.16,0.1,0.74,0.2,0.31,0.84
google-gears.csv,0.41,0.77,0.73,0.16,0.74,0.91,0.94,0.47,0.86,0.95,0.98,0.56,0.35
jnode.csv,0.05,0.25,0.21,0.41,0.1,0.05,0.02,0.63,0.08,0.11,0.0,0.03,0.16
openmeetings.csv,0.13,0.19,0.3,0.03,0.46,0.24,0.0,0.0,0.14,0.66,0.35,0.16,0.16
pgui.csv,0.53,0.81,0.0,0.19,0.59,0.71,0.14,0.47,0.57,0.53,0.27,0.71,0.32
tradelink.csv,0.12,0.81,0.75,0.31,0.52,0.69,0.53,0.5,0.35,0.34,0.75,0.35,0.19
wxcrp.csv,0.25,0.8,0.92,0.66,0.92,0.65,0.78,0.24,0.61,0.53,0.91,0.47,0.68
