,id,count_recall,count_precision,count_pf,cdom_score,bellwether
48,3,2,2,4,4,h2database.csv
46,4,1,3,3,3,jfreereport.csv
53,5,1,12,17,19,linuxsh.csv
22,6,1,11,18,17,amateur-scrolls.csv
17,7,1,1,2,1,jnode.csv
28,8,3,2,3,4,qse.csv
15,9,2,10,19,19,gnupdate.csv
25,10,2,7,12,17,tzod.csv
16,11,5,7,7,10,sigil.csv
49,12,1,8,14,13,exordium.csv
52,13,1,4,8,7,zoolib.csv
54,14,1,4,7,7,bibedt.csv
47,15,1,2,5,5,haphazard.csv
19,16,1,2,4,4,qtractor.csv
24,17,2,5,15,19,ossbuild.csv
13,18,1,9,18,17,aufs.csv
26,19,1,11,15,14,oscarmcmaster.csv
12,20,1,1,1,0,dataobjectsdotnet.csv
29,21,3,3,8,8,skia.csv
55,22,1,4,4,3,omseek.csv
45,24,1,6,10,7,sblim.csv
56,25,2,2,1,1,jsidplay2.csv
27,26,1,2,4,4,panda3d.csv
14,27,1,5,7,6,archive-crawler.csv
23,28,2,6,11,10,jpaul.csv
18,29,2,4,5,7,opensim4opencog.csv
36,30,2,7,17,15,foursquared.csv
4,32,1,1,1,1,raygina.csv
11,33,1,3,14,13,fluent-nhibernate.csv
10,34,2,6,15,14,mumble.csv
5,35,1,5,11,10,novembre.csv
37,37,1,10,17,15,bionote.csv
32,38,2,9,14,15,twostep.csv
38,39,2,6,10,11,joustsim.csv
50,40,1,2,5,7,nodal.csv
43,41,1,3,9,9,jam-daq.csv
20,42,1,9,18,18,forester-atv.csv
31,43,7,8,8,15,intact.csv
30,44,1,11,20,19,owfs.csv
21,45,2,6,8,11,nova.csv
42,46,1,10,18,18,opengs.csv
51,47,3,4,4,7,botsnscouts.csv
44,48,1,2,5,4,chrysalis.csv
2,50,3,4,11,12,gwanted.csv
7,51,2,5,15,16,acdk.csv
39,52,1,3,6,5,papertoolkit.csv
35,53,1,2,3,3,thrust.csv
34,54,1,4,9,10,pcgen.csv
40,55,1,9,14,13,rocrail.csv
6,56,1,4,5,4,xbplayer.csv
3,57,1,5,9,9,jahshakafx.csv
8,58,1,3,6,4,runuomondains.csv
1,59,1,4,13,11,piccolo2d.csv
9,60,1,11,20,19,nebuladevice.csv
0,61,1,3,7,6,pentahoanalysistool.csv
33,62,2,6,6,7,img-browse-sort.csv
41,63,3,4,12,13,netatalk.csv
