,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.44,0.46,0.0,0.8,0.55,0.0,0.08,0.0,0.21,0.0,0.0,0.05
fontforge.csv,0.56,0.47,0.59,0.51,0.82,0.59,0.04,0.71,0.22,0.66,0.22,0.49,0.59
gmerlin.csv,0.05,0.44,0.49,0.46,0.0,0.53,0.04,0.0,0.26,0.0,0.0,0.55,0.58
hatari.csv,0.53,0.54,0.68,0.48,0.82,0.59,0.05,0.57,0.24,0.65,0.22,0.42,0.47
jcl.csv,0.64,0.47,0.57,0.39,0.81,0.54,0.05,0.57,0.2,0.57,0.3,0.5,0.55
ltp.csv,0.33,0.44,0.59,0.59,0.79,0.54,0.0,0.62,0.22,0.51,0.21,0.32,0.41
net-snmp.csv,0.62,0.47,0.42,0.42,0.45,0.33,0.14,0.57,0.26,0.58,0.11,0.37,0.59
opde.csv,0.62,0.35,0.62,0.58,0.82,0.53,0.13,0.59,0.27,0.0,0.17,0.35,0.56
powerfolder-.csv,0.57,0.58,0.5,0.48,0.23,0.29,0.1,0.27,0.31,0.34,0.28,0.42,0.49
qlc.csv,0.0,0.5,0.0,0.47,0.72,0.58,0.11,0.0,0.4,0.31,0.36,0.0,0.38
tcl.csv,0.51,0.49,0.56,0.54,0.75,0.53,0.04,0.0,0.25,0.7,0.0,0.24,0.51
wxstudio.csv,0.56,0.2,0.4,0.36,0.44,0.45,0.0,0.52,0.07,0.54,0.0,0.47,0.68
