,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.67,0.68,0.02,0.65
hibernate.csv,0.78,0.69,0.89,0.11
lamp.csv,0.14,0.83,0.79,0.85
thout.csv,0.96,0.11,0.66,0.71
