,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.36,0.59,0.98,0.44
hibernate.csv,0.29,0.52,0.11,0.89
lamp.csv,0.86,0.18,0.23,0.16
thout.csv,0.5,0.89,0.48,0.42
