,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.71,0.63,0.44,0.61
hibernate.csv,0.71,0.57,0.8,0.75
lamp.csv,0.92,0.92,0.79,0.98
thout.csv,0.5,0.77,0.6,0.73
