,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.41,0.56,0.98,0.47
hibernate.csv,0.33,0.52,0.13,0.91
lamp.csv,0.88,0.21,0.27,0.19
thout.csv,0.38,0.91,0.5,0.45
