,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.18,0.54,0.0,0.34
hibernate.csv,0.32,0.5,0.0,0.0
lamp.csv,0.01,0.12,0.18,0.08
thout.csv,0.81,0.0,0.41,0.41
