,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.64,0.7,0.24,0.67
neoengine.csv,0.7,0.67,0.66,0.64
omseek.csv,0.24,0.69,0.27,0.07
pcsx2.csv,0.56,0.72,0.73,0.28
