,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,0.68,0.47,0.81,0.52
neoengine.csv,0.42,0.68,0.68,0.66
omseek.csv,0.81,0.41,0.77,0.94
pcsx2.csv,0.51,0.48,0.42,0.78
