,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.88,0.82,0.8,0.56,0.79,0.8,0.93,0.78,0.43,0.87
chaosrts.csv,0.82,0.49,1.0,0.64,0.8,0.62,0.63,0.95,1.0,0.33
lazarus-ccr.csv,0.78,0.3,1.0,0.89,0.75,0.71,0.78,0.72,0.95,0.7
linuxsh.csv,0.74,0.81,0.34,0.83,0.64,0.77,1.0,1.0,0.86,0.95
migen.csv,0.59,0.76,0.68,0.49,0.56,0.46,1.0,0.94,0.71,0.65
moviesandbox.csv,0.53,0.68,0.59,0.56,0.48,0.65,0.91,0.94,0.83,0.68
sauerbraten.csv,0.44,0.77,0.98,0.83,0.8,0.91,0.86,0.83,0.83,0.95
scite-ru.csv,0.79,0.96,0.63,0.73,0.78,0.84,0.55,0.81,0.73,1.0
vrjuggler.csv,0.98,0.84,1.0,1.0,0.96,0.92,0.91,0.43,0.96,0.88
xuggle.csv,0.5,0.61,0.69,0.34,0.62,0.6,0.54,0.87,0.68,0.71
