,sauerbraten.csv,lazarus-ccr.csv,linuxsh.csv,xuggle.csv,moviesandbox.csv,migen.csv,scite-ru.csv,vrjuggler.csv,alleg.csv,chaosrts.csv
alleg.csv,0.74,0.4,0.29,0.26,0.67,0.36,0.12,0.23,0.77,0.23
chaosrts.csv,0.7,0.64,0.29,0.23,0.33,0.5,0.42,0.08,0.76,0.87
lazarus-ccr.csv,0.63,0.78,0.29,0.17,0.5,0.51,0.29,0.32,0.68,0.87
linuxsh.csv,0.71,0.42,0.5,0.2,0.65,0.34,0.0,0.0,0.24,0.1
migen.csv,0.69,0.44,0.3,0.31,0.6,0.65,0.0,0.08,0.52,0.86
moviesandbox.csv,0.77,0.51,0.34,0.27,0.71,0.47,0.15,0.1,0.32,0.74
sauerbraten.csv,0.77,0.62,0.29,0.21,0.75,0.55,0.38,0.38,0.65,0.92
scite-ru.csv,0.78,0.64,0.34,0.23,0.72,0.63,0.48,0.36,0.55,0.94
vrjuggler.csv,0.05,0.26,0.0,0.0,0.08,0.15,0.14,0.5,0.09,0.29
xuggle.csv,0.73,0.61,0.28,0.43,0.68,0.55,0.48,0.17,0.61,0.61
