,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.58,0.52,0.57,0.64,0.93,0.93,0.92,0.44,0.71,0.69,0.59
crisscross.csv,0.5,0.42,0.5,0.45,0.38,0.48,0.47,0.83,0.36,0.56,0.33
cubefs.csv,0.9,0.42,0.45,0.51,0.4,0.51,0.47,0.46,0.41,0.56,0.39
gisgraphy.csv,0.99,0.5,0.75,0.99,0.9,0.67,0.95,0.45,0.9,0.97,0.69
iaml.csv,0.98,0.67,0.68,0.99,0.73,0.5,0.55,0.89,0.6,0.91,0.4
ivataopenportal.csv,0.46,0.42,0.45,0.4,0.35,0.53,0.41,0.41,0.34,0.56,0.31
mb-unit.csv,0.49,0.0,0.63,0.46,0.38,0.42,0.43,0.94,0.35,0.56,0.32
mvdsv.csv,0.92,0.65,0.0,0.98,0.88,0.5,0.94,0.86,0.86,0.5,0.86
nova.csv,0.62,0.57,0.64,0.56,0.55,0.67,0.59,0.46,0.75,0.69,0.54
openwbem.csv,0.46,0.5,0.55,0.48,0.36,0.56,0.43,0.4,0.48,0.36,0.32
xcmetadataservicestoolkit.csv,0.92,0.94,0.49,0.69,0.37,0.45,0.46,0.94,0.42,0.69,0.4
