,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,2.0,14.0,20.0,3.0,68.0,4.0,1.0,2.0,1.0,2.0,0.0
crisscross.csv,0.0,17.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,3.0,1.0
cubefs.csv,2.0,17.0,17.0,0.0,28.0,0.0,1.0,0.0,0.0,3.0,2.0
gisgraphy.csv,0.0,56.0,120.0,1.0,6.0,0.0,0.0,0.0,0.0,27.0,2.0
iaml.csv,7.0,2.0,17.0,0.0,7.0,1.0,1.0,0.0,1.0,3.0,0.0
ivataopenportal.csv,0.0,17.0,10.0,0.0,22.0,0.0,1.0,0.0,0.0,3.0,1.0
mb-unit.csv,0.0,56.0,25.0,0.0,28.0,0.0,2.0,0.0,0.0,3.0,1.0
mvdsv.csv,4.0,2.0,120.0,0.0,0.0,1.0,2.0,2.0,0.0,131.0,1.0
nova.csv,0.0,3.0,17.0,0.0,68.0,0.0,0.0,0.0,0.0,3.0,0.0
openwbem.csv,1.0,3.0,4.0,1.0,30.0,1.0,0.0,0.0,0.0,3.0,0.0
xcmetadataservicestoolkit.csv,0.0,10.0,17.0,2.0,25.0,0.0,0.0,0.0,0.0,2.0,0.0
