,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.41,0.8,0.65,0.67,0.62,0.57,0.49,0.7,0.71,0.56,0.4,0.66,0.5,0.44,0.44,0.73,0.52,0.52
buddata-ebxml-registry.csv,0.35,0.43,0.44,0.42,0.48,0.39,0.38,0.41,0.36,0.38,0.36,0.41,0.31,0.36,0.44,0.51,0.45,0.34
co-ode-owl-plugins.csv,0.6,0.9,0.63,0.89,0.86,0.41,0.69,0.95,0.5,0.94,0.92,0.59,0.71,0.86,0.56,0.75,0.75,0.89
firebreath.csv,0.39,0.49,0.54,0.56,0.56,0.51,0.4,0.6,0.49,0.41,0.46,0.49,0.56,0.42,0.48,0.7,0.59,0.48
gretl.csv,0.33,0.45,0.48,0.42,0.5,0.39,0.35,0.43,0.39,0.41,0.36,0.43,0.39,0.59,0.44,0.54,0.49,0.34
konversation.csv,0.86,0.0,0.95,0.91,0.96,0.56,0.9,0.89,0.94,0.5,0.83,0.91,0.67,0.0,0.98,0.67,0.78,0.75
lazarus-ccr.csv,0.58,0.41,0.65,0.47,0.51,0.41,0.49,0.42,0.4,0.76,0.7,0.52,0.43,0.39,0.92,0.52,0.79,0.4
linuxsh.csv,0.83,0.75,0.9,0.89,0.91,0.5,0.83,0.94,0.5,0.8,0.92,0.7,0.86,0.75,0.91,0.86,0.83,0.76
migen.csv,0.71,0.58,0.75,0.76,0.77,0.94,0.55,0.89,0.8,0.94,0.87,0.65,0.67,0.82,0.97,0.8,0.66,0.8
moviesandbox.csv,0.73,0.73,0.76,0.68,0.88,0.47,0.48,0.73,0.83,0.92,0.86,0.54,0.92,0.96,0.81,0.86,0.7,0.83
mvnforum.csv,0.56,0.69,0.8,0.94,0.98,0.72,0.72,0.53,0.88,0.93,0.8,0.7,0.76,0.56,0.91,0.84,0.83,0.8
ontomorphtab.csv,0.91,0.45,0.48,0.43,0.64,0.35,0.55,0.47,0.62,0.82,0.55,0.49,0.41,0.85,0.73,0.5,0.81,0.45
opengs.csv,0.76,0.68,0.86,0.52,0.78,0.39,0.52,0.67,0.85,0.94,0.62,0.61,0.57,0.0,0.78,0.8,0.94,0.76
plplot.csv,0.34,0.58,0.56,0.42,0.56,0.39,0.38,0.63,0.45,0.51,0.39,0.53,0.42,0.42,0.39,0.74,0.41,0.6
scite-ru.csv,0.46,0.44,0.91,0.55,0.51,0.42,0.47,0.5,0.68,0.51,0.47,0.43,0.34,0.73,0.96,0.71,0.96,0.42
tokratan.csv,0.0,0.5,0.67,0.93,0.97,0.79,0.83,0.96,0.75,0.0,0.8,0.93,0.81,0.88,0.92,0.8,0.9,0.67
vrjuggler.csv,0.59,0.47,0.0,0.56,0.7,0.87,0.67,0.63,0.94,0.45,0.74,0.62,0.8,0.93,0.94,0.9,0.86,0.49
xuggle.csv,0.92,0.69,0.63,0.87,0.98,0.88,0.62,0.79,0.72,0.52,0.55,0.5,0.42,0.93,0.46,0.89,0.47,0.53
