,umber.csv,openwbem.csv,wpdev.csv,orc.csv,vienna-add-in.csv,ivataopenportal.csv,plato.csv,onotoa.csv,yarp0.csv,rodin-b-sharp.csv,lcfizvtop.csv,elynx.csv,tycho.csv,xcmetadataservicestoolkit.csv,lite.csv,fityk.csv,codesmith.csv,ta3d.csv,jfreechart.csv
codesmith.csv,0.91,0.69,0.6,0.82,0.76,0.93,0.93,0.84,0.58,0.86,0.43,1.09,0.59,0.73,0.56,0.72,0.0,0.68,1.09
fityk.csv,0.25,0.81,1.1,0.68,0.92,0.64,0.73,0.77,0.7,0.65,0.82,0.66,0.79,0.66,0.85,0.02,0.86,0.76,1.22
ivataopenportal.csv,0.85,0.81,0.74,0.55,0.72,0.03,0.73,0.7,0.86,0.69,0.63,0.17,0.72,0.85,0.73,0.83,0.62,0.59,0.56
lcfizvtop.csv,1.25,0.67,0.81,0.97,1.0,0.95,0.61,0.77,0.47,0.9,0.02,1.02,0.75,0.94,0.95,0.85,0.78,0.86,1.12
lite.csv,1.0,0.91,0.75,0.75,0.84,0.83,0.88,0.74,0.82,0.86,0.95,1.02,1.0,0.71,0.0,0.93,0.98,0.68,0.08
onotoa.csv,0.6,0.77,0.69,0.59,0.58,0.9,0.9,0.06,0.83,0.76,0.94,1.02,0.86,0.68,0.89,0.77,0.84,0.78,1.02
openwbem.csv,0.93,0.05,1.06,0.75,0.81,0.96,1.0,0.81,0.84,0.93,0.93,0.95,0.82,0.94,0.76,0.79,0.93,0.89,0.65
orc.csv,1.04,0.9,0.97,0.06,0.79,0.81,0.91,0.7,0.94,0.85,1.0,1.0,1.0,0.9,0.88,0.95,0.66,1.0,1.0
plato.csv,1.11,0.85,1.06,0.99,0.88,0.82,0.02,0.78,0.69,0.76,0.81,0.75,0.86,0.85,0.89,0.65,0.73,1.03,1.2
rodin-b-sharp.csv,0.74,0.88,0.55,0.82,0.74,0.84,0.76,0.83,1.01,0.01,1.0,0.2,1.0,0.73,0.93,0.94,0.86,0.81,1.0
ta3d.csv,0.61,0.76,0.63,1.01,0.76,0.87,0.88,0.91,0.77,0.94,0.81,0.66,0.97,0.94,0.78,0.73,0.72,0.03,0.76
tycho.csv,1.02,0.65,1.11,0.58,0.71,0.91,0.68,0.78,0.76,0.73,0.8,0.37,0.0,0.77,0.63,0.76,0.57,0.68,1.18
umber.csv,0.05,0.77,1.19,0.68,0.86,0.76,0.8,0.61,0.72,0.54,0.77,0.25,0.63,0.63,0.75,0.83,0.82,0.57,0.71
vienna-add-in.csv,0.29,0.63,0.3,0.91,0.02,0.69,0.72,0.73,0.53,0.6,0.8,0.59,0.68,0.6,0.75,0.89,0.82,0.75,1.25
wpdev.csv,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.94,1.0,1.0
xcmetadataservicestoolkit.csv,0.5,0.84,0.72,0.97,0.63,0.68,0.8,0.69,0.7,0.76,0.96,0.46,0.77,0.07,0.78,0.9,0.79,0.72,0.92
yarp0.csv,0.96,0.67,0.79,0.48,0.84,0.69,1.08,0.67,0.0,0.8,0.79,1.11,0.89,0.92,0.89,0.66,0.71,1.0,1.08
