,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,968.5,88.5,45.5,196.5,561.5,97.5,92.5,98.5,71.5
atlc.csv,97.5,2016.5,268.5,98.5,190.0,3526.5,97.5,95.5,197.5,96.5
ipfilter.csv,96.5,2073.0,196.5,98.5,98.5,5136.0,97.5,197.5,197.5,96.5
jmol.csv,97.5,1736.0,97.5,98.5,197.5,5303.0,97.5,197.5,98.5,96.5
pfaedit.csv,0.0,1023.0,276.5,98.5,98.5,1791.5,97.5,96.5,98.5,75.5
rockbox.csv,33.5,643.5,657.0,98.5,98.5,2894.0,97.5,96.5,197.5,96.5
snakeyaml.csv,97.5,453.0,279.0,98.5,386.5,1091.0,97.5,92.5,98.5,57.5
theresa.csv,97.5,474.0,558.0,98.5,197.5,1274.5,97.5,96.5,98.5,96.5
trinitycore.csv,303.0,838.0,280.0,97.5,188.0,1587.0,97.5,96.5,196.5,96.5
wxcode.csv,56.5,639.5,276.5,98.5,98.5,2023.5,97.5,96.5,98.5,137.0
