,atlc.csv,theresa.csv,pfaedit.csv,jmol.csv,snakeyaml.csv,adobe-source.csv,wxcode.csv,ipfilter.csv,trinitycore.csv,rockbox.csv
adobe-source.csv,0.0,0.33,0.46,0.03,0.7,0.63,0.71,0.54,0.33,0.32
atlc.csv,0.88,0.0,0.3,0.47,0.15,0.77,0.57,0.54,0.47,0.68
ipfilter.csv,0.41,1.0,0.89,0.81,0.44,0.9,1.0,0.98,0.78,0.63
jmol.csv,0.78,0.33,1.0,0.68,1.0,1.0,1.0,0.98,0.51,0.89
pfaedit.csv,0.0,0.67,0.76,0.87,0.44,0.43,0.71,0.11,0.53,0.47
rockbox.csv,0.02,1.0,0.72,0.7,0.63,0.43,0.71,0.43,0.69,0.84
snakeyaml.csv,0.61,0.67,0.5,0.33,0.67,0.33,0.57,0.5,0.36,0.11
theresa.csv,0.22,1.0,0.7,0.5,0.81,0.37,0.57,0.46,0.44,0.37
trinitycore.csv,0.07,1.0,0.19,0.16,0.11,0.1,0.57,0.09,0.69,0.11
wxcode.csv,0.1,0.67,0.41,0.33,0.22,0.57,1.0,0.37,0.38,0.16
