,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.54,0.39,0.45,0.51,0.46,0.46,0.4,0.48,0.39,0.48,0.37,0.42
gmerlin.csv,0.37,0.38,0.52,0.0,0.52,0.0,0.44,0.41,0.0,0.36,0.0,0.35
google-gears.csv,0.44,0.54,0.49,0.41,0.36,0.43,0.49,0.5,0.36,0.46,0.38,0.44
gstreamer.csv,0.44,0.42,0.41,0.41,0.38,0.41,0.36,0.48,0.41,0.42,0.39,0.41
lportal.csv,0.67,0.67,0.75,0.8,0.91,0.73,0.83,0.0,0.59,0.75,0.58,0.88
metacosm.csv,0.93,0.47,0.49,0.97,0.73,0.46,0.61,0.6,0.56,0.44,0.41,0.42
mplayer-ce.csv,0.43,0.57,0.39,0.38,0.45,0.4,0.38,0.46,0.49,0.46,0.55,0.43
openmeetings.csv,0.51,0.54,0.57,0.53,0.49,0.6,0.47,0.68,0.58,0.36,0.37,0.4
qgis.csv,0.51,0.78,0.54,0.0,0.5,0.62,0.58,0.68,0.39,0.46,0.92,0.52
skia.csv,0.41,0.49,0.5,0.39,0.42,0.75,0.59,0.53,0.66,0.48,0.72,0.62
wxcrp.csv,0.49,0.43,0.43,0.4,0.37,0.43,0.39,0.5,0.35,0.4,0.37,0.46
yafdotnet.csv,0.38,0.35,0.4,0.38,0.45,0.38,0.36,0.43,0.43,0.34,0.44,0.41
