,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.0,18.0,0.0,0.0,0.0,66.0,3.0,0.0,2.0,1.0,0.0,1.0
gmerlin.csv,7.0,22.0,0.0,259.0,8.0,3583.0,0.0,0.0,342.0,2.0,627.0,1.0
google-gears.csv,3.0,24.0,0.0,0.0,8.0,155.0,1.0,0.0,3.0,4.0,0.0,1.0
gstreamer.csv,0.0,43.0,0.0,0.0,2.0,159.0,1.0,0.0,1.0,2.0,1.0,1.0
lportal.csv,0.0,1.0,0.0,0.0,0.0,14.0,1.0,153.0,5.0,0.0,0.0,3.0
metacosm.csv,2.0,4.0,0.0,0.0,0.0,32.0,2.0,0.0,6.0,3.0,3.0,0.0
mplayer-ce.csv,0.0,16.0,0.0,0.0,12.0,171.0,4.0,0.0,2.0,1.0,0.0,1.0
openmeetings.csv,4.0,0.0,4.0,0.0,2.0,22.0,1.0,1.0,8.0,0.0,0.0,4.0
qgis.csv,3.0,28.0,0.0,259.0,2.0,170.0,5.0,0.0,3.0,3.0,1.0,0.0
skia.csv,3.0,9.0,2.0,0.0,4.0,39.0,1.0,4.0,0.0,0.0,0.0,1.0
wxcrp.csv,2.0,45.0,0.0,0.0,2.0,170.0,9.0,0.0,3.0,2.0,0.0,1.0
yafdotnet.csv,1.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,0.0,1.0
