,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.32,0.2,0.63,0.74,0.51,0.05,0.35,0.8,0.71,0.39,0.45,0.46
gmerlin.csv,0.39,0.25,0.61,0.0,0.6,0.0,0.44,0.8,0.0,0.34,0.0,0.54
google-gears.csv,0.41,0.27,0.65,0.64,0.42,0.04,0.28,0.86,0.62,0.37,0.46,0.47
gstreamer.csv,0.33,0.12,0.56,0.64,0.41,0.04,0.36,0.8,0.77,0.4,0.45,0.47
lportal.csv,0.67,0.67,0.75,1.0,0.73,0.15,0.17,0.0,0.76,0.5,0.47,0.62
metacosm.csv,0.71,0.23,0.66,0.68,0.69,0.04,0.32,0.86,0.8,0.41,0.45,0.73
mplayer-ce.csv,0.32,0.28,0.52,0.65,0.44,0.04,0.33,0.76,0.8,0.37,0.58,0.46
openmeetings.csv,0.54,0.46,0.71,0.69,0.6,0.09,0.36,0.84,0.71,0.36,0.47,0.56
qgis.csv,0.26,0.2,0.68,0.0,0.43,0.04,0.31,0.86,0.59,0.35,0.58,0.68
skia.csv,0.48,0.25,0.58,0.65,0.47,0.04,0.48,0.73,0.57,0.65,0.57,0.69
wxcrp.csv,0.54,0.12,0.6,0.63,0.4,0.04,0.29,0.77,0.61,0.38,0.46,0.44
yafdotnet.csv,0.41,0.16,0.6,0.74,0.65,0.06,0.4,0.83,0.79,0.45,0.5,0.49
