,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.69,0.64,0.49,0.52,0.56,0.68,0.68,0.62,0.5,0.61,0.99,0.88
gmerlin.csv,0.54,0.45,0.65,1.0,0.53,1.0,0.56,0.64,1.0,0.84,1.0,0.68
google-gears.csv,0.52,0.41,0.49,0.87,0.89,0.85,0.78,0.46,0.75,0.66,0.97,0.94
gstreamer.csv,0.75,0.95,0.62,0.82,0.93,0.91,0.7,0.63,0.42,0.6,0.75,1.0
lportal.csv,0.94,0.91,0.96,0.97,0.92,0.32,0.97,1.0,0.64,0.91,0.67,0.82
metacosm.csv,0.68,0.48,0.58,0.85,0.63,0.73,0.77,0.76,0.62,0.6,0.71,0.37
mplayer-ce.csv,0.87,0.39,0.8,0.87,0.73,0.96,0.8,0.9,0.5,0.66,0.56,0.97
openmeetings.csv,0.44,0.19,0.55,0.68,0.53,0.52,0.69,0.75,0.68,0.68,0.7,0.6
qgis.csv,0.76,0.65,0.47,1.0,0.68,0.72,0.76,0.69,0.81,0.72,0.98,0.45
skia.csv,0.43,0.5,0.64,0.68,0.65,0.83,0.61,0.76,0.78,0.39,0.77,0.68
wxcrp.csv,0.42,0.95,0.54,0.92,0.98,0.89,0.93,0.72,0.8,0.67,0.88,0.95
yafdotnet.csv,0.52,0.81,0.56,0.56,0.41,0.66,0.59,0.59,0.52,0.53,0.69,0.84
