,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.36,0.34,0.68,0.71,0.58,0.1,0.44,0.67,0.71,0.46,0.62,0.6
gmerlin.csv,0.49,0.38,0.48,0.0,0.56,0.0,0.49,0.61,0.0,0.49,0.0,0.68
google-gears.csv,0.54,0.4,0.64,0.75,0.57,0.08,0.32,0.8,0.74,0.47,0.63,0.63
gstreamer.csv,0.49,0.21,0.65,0.74,0.56,0.08,0.5,0.76,0.73,0.51,0.54,0.64
lportal.csv,0.12,0.16,0.07,0.06,0.15,0.24,0.05,0.0,0.51,0.15,0.5,0.29
metacosm.csv,0.44,0.35,0.55,0.26,0.49,0.08,0.3,0.39,0.53,0.47,0.49,0.72
mplayer-ce.csv,0.48,0.42,0.67,0.78,0.56,0.08,0.46,0.81,0.64,0.47,0.56,0.63
openmeetings.csv,0.58,0.62,0.58,0.5,0.56,0.16,0.38,0.4,0.47,0.48,0.54,0.54
qgis.csv,0.33,0.26,0.65,0.0,0.48,0.08,0.32,0.47,0.68,0.48,0.05,0.65
skia.csv,0.57,0.36,0.49,0.62,0.56,0.07,0.46,0.57,0.36,0.65,0.34,0.45
wxcrp.csv,0.59,0.2,0.68,0.75,0.55,0.08,0.42,0.7,0.74,0.51,0.62,0.58
yafdotnet.csv,0.54,0.28,0.6,0.63,0.67,0.11,0.48,0.65,0.62,0.56,0.45,0.64
