,wxcrp.csv,openmeetings.csv,qgis.csv,alsa.csv,yafdotnet.csv,lportal.csv,gmerlin.csv,google-gears.csv,gstreamer.csv,skia.csv,mplayer-ce.csv,metacosm.csv
alsa.csv,0.45,0.74,0.7,0.65,0.64,0.65,0.56,0.57,0.69,0.57,0.05,0.4
gmerlin.csv,0.64,0.76,0.43,0.0,0.56,0.0,0.58,0.51,0.0,0.48,0.0,0.67
google-gears.csv,0.73,0.75,0.64,0.41,0.39,0.47,0.4,0.71,0.6,0.59,0.13,0.24
gstreamer.csv,0.59,0.26,0.66,0.51,0.29,0.34,0.61,0.64,0.69,0.64,0.55,0.0
lportal.csv,0.07,0.11,0.05,0.04,0.1,0.75,0.04,0.0,0.43,0.11,0.53,0.23
metacosm.csv,0.37,0.67,0.5,0.19,0.43,0.57,0.32,0.3,0.44,0.57,0.51,0.71
mplayer-ce.csv,0.42,0.8,0.53,0.42,0.59,0.17,0.53,0.37,0.58,0.59,0.56,0.13
openmeetings.csv,0.64,0.92,0.53,0.43,0.56,0.57,0.44,0.3,0.39,0.6,0.57,0.54
qgis.csv,0.46,0.45,0.65,0.0,0.53,0.54,0.37,0.37,0.52,0.59,0.02,0.65
skia.csv,0.7,0.61,0.47,0.56,0.62,0.24,0.48,0.46,0.31,0.68,0.28,0.38
wxcrp.csv,0.67,0.3,0.71,0.3,0.09,0.38,0.35,0.56,0.55,0.64,0.39,0.23
yafdotnet.csv,0.73,0.53,0.6,0.57,0.7,0.69,0.59,0.55,0.56,0.69,0.43,0.47
