,psycle.csv,ildjit.csv,jfreereport.csv,enlightenment.csv,empserver.csv,pcsx2.csv,lufa-lib.csv,wxjs.csv,cortex-vfx.csv,ffigo.csv,wikipediardware.csv
cortex-vfx.csv,0.24,0.33,0.32,0.29,0.39,0.26,0.31,0.39,0.37,0.23,0.27
empserver.csv,0.16,0.24,0.42,0.16,0.26,0.2,0.21,0.29,0.33,0.25,0.13
enlightenment.csv,0.47,0.4,0.42,0.28,0.41,0.43,0.52,0.39,0.42,0.38,0.42
ffigo.csv,0.3,0.21,0.36,0.44,0.38,0.18,0.52,0.29,0.25,0.28,0.33
ildjit.csv,0.44,0.38,0.41,0.44,0.39,0.42,0.52,0.18,0.41,0.38,0.4
jfreereport.csv,0.35,0.4,0.4,0.18,0.36,0.38,0.21,0.37,0.4,0.14,0.13
lufa-lib.csv,0.41,0.31,0.21,0.35,0.38,0.34,0.33,0.22,0.31,0.31,0.37
pcsx2.csv,0.3,0.17,0.27,0.33,0.33,0.31,0.45,0.22,0.42,0.14,0.23
psycle.csv,0.32,0.33,0.34,0.34,0.29,0.35,0.44,0.34,0.41,0.2,0.17
wikipediardware.csv,0.28,0.37,0.42,0.35,0.39,0.37,0.52,0.35,0.42,0.32,0.31
wxjs.csv,0.43,0.4,0.41,0.41,0.35,0.39,0.51,0.35,0.42,0.29,0.37
