,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.67,0.32,0.2,0.39,0.54,0.42,0.55,0.64,0.49,0.71,0.53,0.37,0.69,0.67,0.72,0.7,0.19,0.77
cornerstone.csv,0.51,0.27,0.14,0.32,0.3,0.35,0.0,0.28,0.03,0.06,0.69,0.53,0.32,0.53,0.1,0.47,0.36,0.1
emeraldemu.csv,0.65,0.33,0.16,0.28,0.27,0.26,0.4,0.65,0.45,0.6,0.6,0.13,0.41,0.05,0.64,0.64,0.32,0.69
grafx2.csv,0.65,0.32,0.18,0.4,0.47,0.49,0.49,0.59,0.49,0.69,0.59,0.5,0.71,0.8,0.82,0.67,0.25,0.75
jahshakafx.csv,0.69,0.34,0.18,0.31,0.45,0.31,0.47,0.58,0.53,0.59,0.6,0.24,0.68,0.65,0.76,0.69,0.27,0.79
maya-work-in-progress.csv,0.62,0.31,0.19,0.35,0.81,0.6,0.48,0.58,0.58,0.84,0.68,0.59,0.78,0.72,0.72,0.71,0.1,0.8
novembre.csv,0.64,0.33,0.13,0.18,0.33,0.45,0.56,0.39,0.51,0.54,0.51,0.45,0.28,0.64,0.61,0.64,0.3,0.58
ns-3.csv,0.53,0.32,0.13,0.31,0.64,0.73,0.45,0.39,0.53,0.51,0.6,0.44,0.84,0.63,0.76,0.71,0.07,0.75
nullc.csv,0.45,0.21,0.11,0.23,0.88,0.58,0.48,0.52,0.51,0.43,0.61,0.38,0.75,0.73,0.74,0.69,0.17,0.74
open-beos.csv,0.65,0.33,0.23,0.34,0.61,0.56,0.45,0.54,0.64,0.53,0.52,0.43,0.73,0.73,0.8,0.74,0.13,0.74
pixel-commandos.csv,0.07,0.22,0.07,0.17,0.21,0.24,0.43,0.25,0.19,0.27,0.13,0.0,0.18,0.4,0.56,0.43,0.62,0.29
planeshift.csv,0.47,0.23,0.11,0.23,0.78,0.7,0.44,0.55,0.58,0.64,0.64,0.43,0.78,0.72,0.79,0.71,0.06,0.84
plee-the-bear.csv,0.65,0.29,0.28,0.06,0.67,0.62,0.4,0.38,0.54,0.67,0.63,0.48,0.7,0.6,0.6,0.63,0.1,0.75
reaper-ecad.csv,0.06,0.15,0.0,0.44,0.11,0.04,0.12,0.19,0.1,0.06,0.15,0.0,0.1,0.0,0.05,0.09,0.0,0.04
sbml.csv,0.45,0.3,0.14,0.27,0.72,0.62,0.4,0.49,0.61,0.55,0.65,0.42,0.83,0.71,0.84,0.67,0.1,0.35
unimrcp.csv,0.37,0.24,0.21,0.44,0.63,0.44,0.33,0.38,0.26,0.4,0.48,0.6,0.51,0.52,0.34,0.67,0.0,0.07
unladen-swallow.csv,0.38,0.31,0.22,0.12,0.3,0.47,0.36,0.43,0.46,0.58,0.47,0.56,0.56,0.57,0.31,0.66,0.11,0.34
zxing.csv,0.64,0.31,0.25,0.35,0.63,0.34,0.42,0.58,0.47,0.43,0.61,0.0,0.74,0.39,0.53,0.68,0.19,0.83
