,ns-3.csv,grafx2.csv,sylpheed-claws.csv,minig.csv,omseek.csv,megameknet.csv,kmess.csv,google-gears.csv,ftm.csv,xamj.csv,quickfast.csv
ftm.csv,0.19,0.52,0.57,0.18,0.49,0.53,0.53,0.37,0.66,0.57,0.25
google-gears.csv,0.49,0.53,0.43,0.32,0.66,0.63,0.64,0.69,0.53,0.48,0.66
grafx2.csv,0.38,0.76,0.42,0.37,0.64,0.69,0.6,0.44,0.54,0.59,0.49
kmess.csv,0.23,0.06,0.5,0.09,0.55,0.29,0.7,0.07,0.55,0.41,0.3
megameknet.csv,0.44,0.7,0.45,0.37,0.64,0.68,0.59,0.6,0.63,0.56,0.62
minig.csv,0.29,0.27,0.35,0.7,0.34,0.59,0.34,0.34,0.12,0.68,0.33
ns-3.csv,0.69,0.0,0.67,0.46,0.37,0.6,0.5,0.45,0.1,0.44,0.7
omseek.csv,0.15,0.15,0.17,0.41,0.74,0.38,0.34,0.24,0.52,0.56,0.13
quickfast.csv,0.57,0.57,0.67,0.7,0.36,0.67,0.32,0.55,0.19,0.64,0.75
sylpheed-claws.csv,0.0,0.0,0.69,0.65,0.0,0.6,0.0,0.0,0.0,0.68,0.0
xamj.csv,0.46,0.64,0.63,0.48,0.53,0.27,0.6,0.56,0.38,0.67,0.69
